"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","slope","sig"
"1","Atlantic cod","Eastern Georges Bank",1993,1003,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.321235959,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"2","Atlantic cod","Eastern Georges Bank",1994,544,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",0.390613247,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"3","Atlantic cod","Eastern Georges Bank",1995,677,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",0.449395482,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"4","Atlantic cod","Eastern Georges Bank",1996,555,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.972414388,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"5","Atlantic cod","Eastern Georges Bank",1997,686,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.01648011,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"6","Atlantic cod","Eastern Georges Bank",1998,1204,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.671553849,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"7","Atlantic cod","Eastern Georges Bank",1999,788,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",1.034883793,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"8","Atlantic cod","Eastern Georges Bank",2000,1634,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",0.540390256,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"9","Atlantic cod","Eastern Georges Bank",2001,1697,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",0.353426606,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"10","Atlantic cod","Eastern Georges Bank",2002,1935,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",0.758368165,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"11","Atlantic cod","Eastern Georges Bank",2003,1063,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.408021732,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"12","Atlantic cod","Eastern Georges Bank",2004,370,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-1.182823355,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"13","Atlantic cod","Eastern Georges Bank",2005,226,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.685677265,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"14","Atlantic cod","Eastern Georges Bank",2006,513,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",0.269768393,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"15","Atlantic cod","Eastern Georges Bank",2007,244,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.661743053,FALSE,25,0.215691738825876,-165.581862431545,FALSE
"16","Atlantic cod","Eastern Georges Bank",2008,580,"Catch","Estimated Total Catch - USA","Metric Tons",2019,2019,"Catch
Estimated Total Catch - USA
Metric Tons","GLORYS bottom temp anomaly
degreesC",-0.194086493,FALSE,25,0.215691738825876,-165.581862431545,FALSE
