"","Species","Region","Time","Value","Metric","Warm_Core_Rings_n","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","northern_latitude","MONTHLY_PPD_MEDIAN_month_07_gCarbon_m_2_Day","MONTHLY_PPD_MEDIAN_month_08_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_31_gCarbon_m_2_Day","WEEKLY_PPD_RATIO_ANOMALY_week_30_","WEEKLY_PPD_RATIO_ANOMALY_week_31_","Recruitment","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic wolffish","Gulf of Maine / Georges Bank",1998,867,"Abundance",22,40.58397623,-70.71977025,838.0346349,43.65,0.7359551,0.8677391,0.862168,0.783461,0.7275527,121,1.79260316828951
"2","Atlantic wolffish","Gulf of Maine / Georges Bank",1999,814,"Abundance",20,40.48861163,-70.68643348,831.5220071,43.560167,0.8393661,0.9660626,1.005485,0.7247117,0.8253437,85,1.9499994572924
"3","Atlantic wolffish","Gulf of Maine / Georges Bank",2000,802,"Abundance",27,40.67540363,-70.46292463,859.7844628,43.563333,0.8892903,1.064999,1.023094,0.7983721,0.8349309,69,2.38501518124824
"4","Atlantic wolffish","Gulf of Maine / Georges Bank",2001,735,"Abundance",36,40.53551709,-70.56903206,842.540767,44.024662,0.7976294,0.950203,0.972145,0.7720001,0.8126169,73,2.11913563781022
"5","Atlantic wolffish","Gulf of Maine / Georges Bank",2002,716,"Abundance",32,40.71166794,-70.50113143,860.6596093,44.187833,1.157694,1.246622,1.278432,1.033344,0.9945396,74,2.20100690144608
"6","Atlantic wolffish","Gulf of Maine / Georges Bank",2003,639,"Abundance",42,40.59326909,-70.49614997,851.666238,43.840667,1.097557,1.196714,1.1597,0.9119532,0.9456992,77,2.43994708716007
"7","Atlantic wolffish","Gulf of Maine / Georges Bank",2004,556,"Abundance",36,40.43264261,-70.74083783,823.4554738,43.099918,1.081729,1.053661,1.123885,1.008574,0.9599637,65,2.23179050013897
"8","Atlantic wolffish","Gulf of Maine / Georges Bank",2005,453,"Abundance",41,40.46426535,-70.5168912,839.2541229,43.068583,1.03291,1.217052,1.27554,1.038758,1.061527,53,2.00177382992635
"9","Atlantic wolffish","Gulf of Maine / Georges Bank",2006,368,"Abundance",39,40.65232782,-70.50544152,855.8629659,44.089283,1.224072,1.308472,1.308445,1.134688,1.124002,74,2.06771668484637
"10","Atlantic wolffish","Gulf of Maine / Georges Bank",2007,335,"Abundance",35,40.522895,-70.4982223,844.7495694,43.107317,1.278648,1.293869,1.543302,1.209424,1.278968,87,2.1508140608002
"11","Atlantic wolffish","Gulf of Maine / Georges Bank",2008,296,"Abundance",38,40.64940364,-70.47681277,856.632906,43.172645,1.328353,1.314721,1.533503,1.328308,1.265561,67,2.31398879257961
"12","Atlantic wolffish","Gulf of Maine / Georges Bank",2009,303,"Abundance",31,40.59044988,-70.54315837,848.6868181,43.665663,1.197759,1.266206,1.326689,1.052108,1.063422,64,1.86641432356701
"13","Atlantic wolffish","Gulf of Maine / Georges Bank",2010,353,"Abundance",33,40.54577301,-70.58712033,841.6310066,43.841237,1.188002,1.370824,1.36242,1.107408,1.167201,80,2.83972571969491
"14","Atlantic wolffish","Gulf of Maine / Georges Bank",2011,410,"Abundance",32,40.48660363,-70.62489092,834.7560009,42.85866,1.019638,1.20951,1.14908,1.009906,0.9973441,86,2.61064653890135
"15","Atlantic wolffish","Gulf of Maine / Georges Bank",2012,477,"Abundance",31,40.79419136,-70.55718802,864.6159013,43.167368,1.259226,1.257035,1.219223,1.058581,1.072019,127,2.66219618460158
"16","Atlantic wolffish","Gulf of Maine / Georges Bank",2013,537,"Abundance",24,40.7457291,-70.33436727,873.4671619,42.8045,1.259573,1.109718,1.3422,1.085792,1.231726,288,3.4275632097748
"17","Atlantic wolffish","Gulf of Maine / Georges Bank",2014,593,"Abundance",25,41.068272,-70.09433965,914.2246527,43.095105,1.197079,1.209155,1.227069,1.109069,1.01942,289,2.79152578434186
"18","Atlantic wolffish","Gulf of Maine / Georges Bank",2015,652,"Abundance",33,40.70259772,-70.34962414,868.7240872,42.91622,1.09489,1.184258,1.199977,1.039828,0.9830209,289,2.76964968292129
