"","Species","Region","Time","Value","Metric","MONTHLY_CHLOR_A_MEDIAN_month_11_mg_m__3","MONTHLY_CHLOR_A_RATIO_ANOMALY_month_11_","WEEKLY_CHLOR_A_MEDIAN_week_44_mg_m__3","WEEKLY_CHLOR_A_MEDIAN_week_45_mg_m__3","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_45_","WEEKLY_PPD_MEDIAN_week_05_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_11_gCarbon_m_2_Day","WEEKLY_PPD_RATIO_ANOMALY_week_05_","Abundance","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic wolffish","Gulf of Maine / Georges Bank",1998,85,"Recruitment",0.9833645,1.056992,1.301163,1.009889,1.062202,0.2098711,0.2626825,0.8912952,977,1.79260316828951
"2","Atlantic wolffish","Gulf of Maine / Georges Bank",1999,69,"Recruitment",1.153628,1.134506,1.232036,1.416131,1.278136,0.2202271,0.317443,1.000905,867,1.9499994572924
"3","Atlantic wolffish","Gulf of Maine / Georges Bank",2000,73,"Recruitment",0.8612382,0.8359628,1.006677,0.9772308,0.8686906,0.2680018,0.2697852,1.043827,814,2.38501518124824
"4","Atlantic wolffish","Gulf of Maine / Georges Bank",2001,74,"Recruitment",0.7422298,0.8632121,1.154118,0.7227981,0.8063793,0.2364071,0.3055742,0.883055,802,2.11913563781022
"5","Atlantic wolffish","Gulf of Maine / Georges Bank",2002,77,"Recruitment",0.6752325,0.7311451,0.9850122,0.6801487,0.722618,0.2240246,0.2728689,0.8890697,735,2.20100690144608
"6","Atlantic wolffish","Gulf of Maine / Georges Bank",2003,65,"Recruitment",0.6703753,0.7567781,0.7183018,0.7418348,0.7732968,0.1905332,0.2617585,0.7687006,716,2.43994708716007
"7","Atlantic wolffish","Gulf of Maine / Georges Bank",2004,53,"Recruitment",0.5967746,0.6216949,0.7213337,0.6622808,0.6481155,0.2018344,0.2713808,0.8746704,639,2.23179050013897
"8","Atlantic wolffish","Gulf of Maine / Georges Bank",2005,74,"Recruitment",0.7823995,0.8599332,0.8123762,0.9119702,0.9356824,0.2228729,0.2528267,0.9320951,556,2.00177382992635
"9","Atlantic wolffish","Gulf of Maine / Georges Bank",2006,87,"Recruitment",0.8103289,0.8914949,0.7802009,0.8182077,0.8971519,0.2150431,0.3098069,0.83041,453,2.06771668484637
"10","Atlantic wolffish","Gulf of Maine / Georges Bank",2007,67,"Recruitment",0.7638599,0.7719386,1.179639,0.7665688,0.7285255,0.2338975,0.2599464,0.9504229,368,2.1508140608002
"11","Atlantic wolffish","Gulf of Maine / Georges Bank",2008,64,"Recruitment",0.9088706,0.9487962,0.9448434,0.9786857,0.9938082,0.1733446,0.2798841,0.6909363,335,2.31398879257961
"12","Atlantic wolffish","Gulf of Maine / Georges Bank",2009,80,"Recruitment",1.023227,1.038411,0.961878,0.808046,0.7865613,0.2461272,0.3008673,1.005718,296,1.86641432356701
"13","Atlantic wolffish","Gulf of Maine / Georges Bank",2010,86,"Recruitment",0.9299635,0.9708213,1.575714,0.9201347,0.9791034,0.2711113,0.2987127,1.087368,303,2.83972571969491
"14","Atlantic wolffish","Gulf of Maine / Georges Bank",2011,127,"Recruitment",1.215585,1.289314,1.071171,1.372538,1.28418,0.2443919,0.3170862,1.008563,353,2.61064653890135
"15","Atlantic wolffish","Gulf of Maine / Georges Bank",2012,288,"Recruitment",1.840845,1.863012,1.869085,1.47427,1.357746,0.3151363,0.3564196,1.291363,410,2.66219618460158
"16","Atlantic wolffish","Gulf of Maine / Georges Bank",2013,289,"Recruitment",1.411217,1.404215,1.809626,1.459572,1.390257,0.372097,0.3381222,1.276291,477,3.4275632097748
"17","Atlantic wolffish","Gulf of Maine / Georges Bank",2014,289,"Recruitment",1.108037,1.101609,1.423265,1.25833,1.181322,0.2600704,0.334962,1.082441,537,2.79152578434186
"18","Atlantic wolffish","Gulf of Maine / Georges Bank",2015,289,"Recruitment",1.569058,1.502957,1.759207,1.869925,1.692452,0.3251825,0.4345238,1.158179,593,2.76964968292129
