"","Species","Region","Time","Value","Metric","Recruitment"
"1","Butterfish","Gulf of Maine / Cape Hatteras",1989,95648,"Abundance",9246
"2","Butterfish","Gulf of Maine / Cape Hatteras",1990,81125,"Abundance",10054
"3","Butterfish","Gulf of Maine / Cape Hatteras",1991,80530,"Abundance",8355
"4","Butterfish","Gulf of Maine / Cape Hatteras",1992,81371,"Abundance",7854
"5","Butterfish","Gulf of Maine / Cape Hatteras",1993,72164,"Abundance",11473
"6","Butterfish","Gulf of Maine / Cape Hatteras",1994,81434,"Abundance",12668
"7","Butterfish","Gulf of Maine / Cape Hatteras",1995,77456,"Abundance",5480
"8","Butterfish","Gulf of Maine / Cape Hatteras",1996,97318,"Abundance",10316
"9","Butterfish","Gulf of Maine / Cape Hatteras",1997,107000,"Abundance",16274
"10","Butterfish","Gulf of Maine / Cape Hatteras",1998,92880,"Abundance",9786
"11","Butterfish","Gulf of Maine / Cape Hatteras",1999,110500,"Abundance",15036
"12","Butterfish","Gulf of Maine / Cape Hatteras",2000,103850,"Abundance",11667
"13","Butterfish","Gulf of Maine / Cape Hatteras",2001,87524,"Abundance",8720
"14","Butterfish","Gulf of Maine / Cape Hatteras",2002,82635,"Abundance",8832
"15","Butterfish","Gulf of Maine / Cape Hatteras",2003,87395,"Abundance",9975
"16","Butterfish","Gulf of Maine / Cape Hatteras",2004,56864,"Abundance",5557
"17","Butterfish","Gulf of Maine / Cape Hatteras",2005,68167,"Abundance",8148
"18","Butterfish","Gulf of Maine / Cape Hatteras",2006,79505,"Abundance",7801
"19","Butterfish","Gulf of Maine / Cape Hatteras",2007,61006,"Abundance",5780
"20","Butterfish","Gulf of Maine / Cape Hatteras",2008,53811,"Abundance",7451
"21","Butterfish","Gulf of Maine / Cape Hatteras",2009,71959,"Abundance",10815
"22","Butterfish","Gulf of Maine / Cape Hatteras",2010,63107,"Abundance",5918
"23","Butterfish","Gulf of Maine / Cape Hatteras",2011,67606,"Abundance",8399
"24","Butterfish","Gulf of Maine / Cape Hatteras",2012,49833,"Abundance",4325
"25","Butterfish","Gulf of Maine / Cape Hatteras",2013,66138,"Abundance",7871
"26","Butterfish","Gulf of Maine / Cape Hatteras",2014,69076,"Abundance",7277
"27","Butterfish","Gulf of Maine / Cape Hatteras",2015,64376,"Abundance",6579
