"","Species","Region","Time","Value","Metric","WEEKLY_PPD_MEDIAN_week_11_gCarbon_m_2_Day"
"1","Goosefish","Gulf of Maine / Northern Georges Bank",2008,32406,"Abundance",0.2798841
"2","Goosefish","Gulf of Maine / Northern Georges Bank",2009,42178,"Abundance",0.3008673
"3","Goosefish","Gulf of Maine / Northern Georges Bank",2010,49936,"Abundance",0.2987127
"4","Goosefish","Gulf of Maine / Northern Georges Bank",2011,51063,"Abundance",0.3170862
"5","Goosefish","Gulf of Maine / Northern Georges Bank",2012,40838,"Abundance",0.3564196
"6","Goosefish","Gulf of Maine / Northern Georges Bank",2013,54125,"Abundance",0.3381222
"7","Goosefish","Gulf of Maine / Northern Georges Bank",2014,77578,"Abundance",0.334962
"8","Goosefish","Gulf of Maine / Northern Georges Bank",2015,103686,"Abundance",0.4345238
"9","Goosefish","Gulf of Maine / Northern Georges Bank",2016,113147,"Abundance",0.4406897
"10","Goosefish","Gulf of Maine / Northern Georges Bank",2017,140801,"Abundance",0.4781024
