"","Species","Region","Time","Value","Metric","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","northern_latitude","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Rosette skate","Southern New England / Mid",1982,0.028999999165535,"Abundance",40.22615099,-70.98198855,792.6093421,39.583333,7.27647105785162
"2","Rosette skate","Southern New England / Mid",1983,0.0120000001043081,"Abundance",40.35608863,-70.90573945,808.0424258,37.266667,5.78752805584714
"3","Rosette skate","Southern New England / Mid",1984,0.0120000001043081,"Abundance",40.22562795,-71.16860054,781.9913976,39.983333,5.20611040014539
"4","Rosette skate","Southern New England / Mid",1985,0.0120000001043081,"Abundance",40.36599576,-70.75694284,817.1288996,39.066667,6.76055976410869
"5","Rosette skate","Southern New England / Mid",1986,0.0120000001043081,"Abundance",40.33593084,-70.80416542,812.2781223,39.733333,8.41133752735727
"6","Rosette skate","Southern New England / Mid",1987,0.017000000923872,"Abundance",40.37428663,-70.78087501,817.1158713,39.066667,6.16777649341004
"7","Rosette skate","Southern New England / Mid",1988,0.0219999998807907,"Abundance",40.45073261,-70.86739158,817.6219601,39.3,4.95745297309715
"8","Rosette skate","Southern New England / Mid",1989,0.0199999995529652,"Abundance",40.29854875,-71.01460882,796.5941413,38.816667,4.13767980795599
"9","Rosette skate","Southern New England / Mid",1990,0.0149999996647239,"Abundance",40.30155783,-70.97489654,798.7623034,38.55,3.18951244311742
"10","Rosette skate","Southern New England / Mid",1991,0.0209999997168779,"Abundance",40.41864141,-70.77690834,820.0910545,39.666667,3.43615713682841
"11","Rosette skate","Southern New England / Mid",1992,0.0209999997168779,"Abundance",40.47955686,-70.72420001,828.446039,38.783333,2.91931103692896
"12","Rosette skate","Southern New England / Mid",1993,0.0430000014603138,"Abundance",40.36139547,-70.74041936,817.3058002,39.183333,2.44110948570262
"13","Rosette skate","Southern New England / Mid",1994,0.0450000017881393,"Abundance",40.51182101,-70.50702448,843.6565816,39.583333,2.53823378500309
"14","Rosette skate","Southern New England / Mid",1995,0.0520000010728836,"Abundance",40.67657842,-70.49086837,858.3141769,40.616667,2.09285325320061
"15","Rosette skate","Southern New England / Mid",1996,0.0320000015199184,"Abundance",40.40761369,-70.61213514,828.8794512,40.216667,1.7818406637159
"16","Rosette skate","Southern New England / Mid",1997,0.0350000001490116,"Abundance",40.46034533,-70.73484896,826.4137543,40.483333,2.01429356438314
"17","Rosette skate","Southern New England / Mid",1998,0.0430000014603138,"Abundance",40.58397623,-70.71977025,838.0346349,40.433333,1.79260316828951
"18","Rosette skate","Southern New England / Mid",1999,0.0500000007450581,"Abundance",40.48861163,-70.68643348,831.5220071,40.474,1.9499994572924
"19","Rosette skate","Southern New England / Mid",2000,0.0729999989271164,"Abundance",40.67540363,-70.46292463,859.7844628,40.4345,2.38501518124824
"20","Rosette skate","Southern New England / Mid",2001,0.068000003695488,"Abundance",40.53551709,-70.56903206,842.540767,40.6875,2.11913563781022
"21","Rosette skate","Southern New England / Mid",2002,0.068000003695488,"Abundance",40.71166794,-70.50113143,860.6596093,40.403667,2.20100690144608
"22","Rosette skate","Southern New England / Mid",2003,0.0439999997615814,"Abundance",40.59326909,-70.49614997,851.666238,40.021965,2.43994708716007
"23","Rosette skate","Southern New England / Mid",2004,0.0480000004172325,"Abundance",40.43264261,-70.74083783,823.4554738,40.479167,2.23179050013897
"24","Rosette skate","Southern New England / Mid",2005,0.0570000000298023,"Abundance",40.46426535,-70.5168912,839.2541229,40.371233,2.00177382992635
"25","Rosette skate","Southern New England / Mid",2006,0.0640000030398369,"Abundance",40.65232782,-70.50544152,855.8629659,40.22465,2.06771668484637
"26","Rosette skate","Southern New England / Mid",2007,0.0520000010728836,"Abundance",40.522895,-70.4982223,844.7495694,40.52269,2.1508140608002
"27","Rosette skate","Southern New England / Mid",2008,0.0529999993741512,"Abundance",40.64940364,-70.47681277,856.632906,39.191555,2.31398879257961
"28","Rosette skate","Southern New England / Mid",2009,0.0399999991059303,"Abundance",40.59044988,-70.54315837,848.6868181,40.451467,1.86641432356701
"29","Rosette skate","Southern New England / Mid",2010,0.0419999994337559,"Abundance",40.54577301,-70.58712033,841.6310066,44.337065,2.83972571969491
"30","Rosette skate","Southern New England / Mid",2011,0.0329999998211861,"Abundance",40.48660363,-70.62489092,834.7560009,40.526037,2.61064653890135
"31","Rosette skate","Southern New England / Mid",2012,0.0419999994337559,"Abundance",40.79419136,-70.55718802,864.6159013,40.463842,2.66219618460158
"32","Rosette skate","Southern New England / Mid",2013,0.0480000004172325,"Abundance",40.7457291,-70.33436727,873.4671619,40.982897,3.4275632097748
"33","Rosette skate","Southern New England / Mid",2014,0.0509999990463257,"Abundance",41.068272,-70.09433965,914.2246527,40.845375,2.79152578434186
"34","Rosette skate","Southern New England / Mid",2015,0.0469999983906746,"Abundance",40.70259772,-70.34962414,868.7240872,40.419453,2.76964968292129
"35","Rosette skate","Southern New England / Mid",2017,0.0469999983906746,"Abundance",40.70691058,-70.3220756,870.712551,40.685667,2.71918314214546
