"","Species","Region","Time","Value","Metric","Longitude_degreesW","along_shelf_distance_km"
"1","White hake","Gulf of Maine / Georges Bank",1968,4942,"Recruitment",-71.05679067,763.9461006
"2","White hake","Gulf of Maine / Georges Bank",1969,6441,"Recruitment",-70.92603177,772.8194373
"3","White hake","Gulf of Maine / Georges Bank",1970,7863,"Recruitment",-70.90236215,800.1552845
"4","White hake","Gulf of Maine / Georges Bank",1971,5006,"Recruitment",-70.88852819,785.8148847
"5","White hake","Gulf of Maine / Georges Bank",1972,4603,"Recruitment",-70.56902424,826.2890412
"6","White hake","Gulf of Maine / Georges Bank",1973,5553,"Recruitment",-71.21432278,782.5003425
"7","White hake","Gulf of Maine / Georges Bank",1974,4541,"Recruitment",-70.78238938,827.0903472
"8","White hake","Gulf of Maine / Georges Bank",1975,4675,"Recruitment",-70.41362559,864.6046574
"9","White hake","Gulf of Maine / Georges Bank",1976,6205,"Recruitment",-70.9489,799.119539
"10","White hake","Gulf of Maine / Georges Bank",1977,6080,"Recruitment",-71.01285646,791.5034065
"11","White hake","Gulf of Maine / Georges Bank",1978,3419,"Recruitment",-71.14567166,770.4756954
"12","White hake","Gulf of Maine / Georges Bank",1979,6293,"Recruitment",-70.85080389,810.6023333
"13","White hake","Gulf of Maine / Georges Bank",1980,5069,"Recruitment",-71.06165489,783.8278744
"14","White hake","Gulf of Maine / Georges Bank",1981,5848,"Recruitment",-70.92722994,797.2650564
"15","White hake","Gulf of Maine / Georges Bank",1982,3592,"Recruitment",-70.98198855,792.6093421
"16","White hake","Gulf of Maine / Georges Bank",1983,5275,"Recruitment",-70.90573945,808.0424258
"17","White hake","Gulf of Maine / Georges Bank",1984,10209,"Recruitment",-71.16860054,781.9913976
"18","White hake","Gulf of Maine / Georges Bank",1985,5494,"Recruitment",-70.75694284,817.1288996
"19","White hake","Gulf of Maine / Georges Bank",1986,8448,"Recruitment",-70.80416542,812.2781223
"20","White hake","Gulf of Maine / Georges Bank",1987,8307,"Recruitment",-70.78087501,817.1158713
"21","White hake","Gulf of Maine / Georges Bank",1988,12211,"Recruitment",-70.86739158,817.6219601
"22","White hake","Gulf of Maine / Georges Bank",1989,12799,"Recruitment",-71.01460882,796.5941413
"23","White hake","Gulf of Maine / Georges Bank",1990,7938,"Recruitment",-70.97489654,798.7623034
"24","White hake","Gulf of Maine / Georges Bank",1991,6746,"Recruitment",-70.77690834,820.0910545
"25","White hake","Gulf of Maine / Georges Bank",1992,6438,"Recruitment",-70.72420001,828.446039
"26","White hake","Gulf of Maine / Georges Bank",1993,4346,"Recruitment",-70.74041936,817.3058002
"27","White hake","Gulf of Maine / Georges Bank",1994,2734,"Recruitment",-70.50702448,843.6565816
"28","White hake","Gulf of Maine / Georges Bank",1995,3481,"Recruitment",-70.49086837,858.3141769
"29","White hake","Gulf of Maine / Georges Bank",1996,4494,"Recruitment",-70.61213514,828.8794512
"30","White hake","Gulf of Maine / Georges Bank",1997,4448,"Recruitment",-70.73484896,826.4137543
"31","White hake","Gulf of Maine / Georges Bank",1998,5913,"Recruitment",-70.71977025,838.0346349
"32","White hake","Gulf of Maine / Georges Bank",1999,2501,"Recruitment",-70.68643348,831.5220071
"33","White hake","Gulf of Maine / Georges Bank",2000,2115,"Recruitment",-70.46292463,859.7844628
"34","White hake","Gulf of Maine / Georges Bank",2001,2217,"Recruitment",-70.56903206,842.540767
"35","White hake","Gulf of Maine / Georges Bank",2002,2109,"Recruitment",-70.50113143,860.6596093
"36","White hake","Gulf of Maine / Georges Bank",2003,1935,"Recruitment",-70.49614997,851.666238
"37","White hake","Gulf of Maine / Georges Bank",2004,3152,"Recruitment",-70.74083783,823.4554738
"38","White hake","Gulf of Maine / Georges Bank",2005,3838,"Recruitment",-70.5168912,839.2541229
"39","White hake","Gulf of Maine / Georges Bank",2006,3067,"Recruitment",-70.50544152,855.8629659
"40","White hake","Gulf of Maine / Georges Bank",2007,3475,"Recruitment",-70.4982223,844.7495694
"41","White hake","Gulf of Maine / Georges Bank",2008,3483,"Recruitment",-70.47681277,856.632906
"42","White hake","Gulf of Maine / Georges Bank",2009,3034,"Recruitment",-70.54315837,848.6868181
"43","White hake","Gulf of Maine / Georges Bank",2010,2867,"Recruitment",-70.58712033,841.6310066
"44","White hake","Gulf of Maine / Georges Bank",2011,2820,"Recruitment",-70.62489092,834.7560009
"45","White hake","Gulf of Maine / Georges Bank",2012,3238,"Recruitment",-70.55718802,864.6159013
"46","White hake","Gulf of Maine / Georges Bank",2013,2960,"Recruitment",-70.33436727,873.4671619
"47","White hake","Gulf of Maine / Georges Bank",2014,3334,"Recruitment",-70.09433965,914.2246527
"48","White hake","Gulf of Maine / Georges Bank",2015,2080,"Recruitment",-70.34962414,868.7240872
"49","White hake","Gulf of Maine / Georges Bank",2016,3168,"Recruitment",-70.35421539,885.7850977
"50","White hake","Gulf of Maine / Georges Bank",2017,4038,"Recruitment",-70.3220756,870.712551
