"","Species","Region","Time","Value","Metric","fall_OI_SST_Anomaly_degreesC","winter_OI_SST_Anomaly_degreesC","fall_OI_SST_Anomaly_stock_degreesC","winter_OI_SST_Anomaly_stock_degreesC","northern_latitude","MONTHLY_CHLOR_A_MEDIAN_month_01_mg_m__3","MONTHLY_CHLOR_A_MEDIAN_month_11_mg_m__3","MONTHLY_CHLOR_A_RATIO_ANOMALY_month_01_","MONTHLY_CHLOR_A_RATIO_ANOMALY_month_11_","WEEKLY_CHLOR_A_MEDIAN_week_01_mg_m__3","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_01_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_05_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_46_","MONTHLY_PPD_MEDIAN_month_02_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_03_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_05_gCarbon_m_2_Day"
"1","White hake","Gulf of Maine / Georges Bank",1998,9599,"Abundance",-0.870574093556058,-0.535187887427983,-0.941763614601021,-0.454012299504592,44.3,0.4736514,0.9833645,0.726347,1.056992,0.4564724,0.6956375,0.7425125,0.9841895,0.2244755,0.1779147,0.2098711
"2","White hake","Gulf of Maine / Georges Bank",1999,9395,"Abundance",0.516498333820399,-0.410935111089989,0.665098817562416,-0.349332236379409,44.329167,0.5735049,1.153628,0.9519618,1.134506,0.7488505,1.041119,1.035531,1.036447,0.2514064,0.2375629,0.2202271
"3","White hake","Gulf of Maine / Georges Bank",2000,10639,"Abundance",0.314385437015174,0.840352081671254,0.275512614847544,0.878596961311104,44.305667,0.5103135,0.8612382,0.7804797,0.8359628,0.6336236,0.7698799,0.7522388,0.7402602,0.2963462,0.2455646,0.2680018
"4","White hake","Gulf of Maine / Georges Bank",2001,12440,"Abundance",0.325727504880533,-0.0120490119413095,0.437342114776436,-0.0128318524060056,44.395035,0.4756382,0.7422298,0.7433259,0.8632121,0.5030252,0.5929845,0.8267196,0.7593004,0.2450749,0.2016336,0.2364071
"5","White hake","Gulf of Maine / Georges Bank",2002,12753,"Abundance",0.621463912595873,0.815997268822458,0.612163265068297,0.80466458498727,44.398833,0.5175464,0.6752325,0.8196304,0.7311451,0.5523839,0.7685251,0.8927262,0.7804564,0.2524102,0.249011,0.2240246
"6","White hake","Gulf of Maine / Georges Bank",2003,11265,"Abundance",-0.0531646917695578,-0.175450857298242,0.00608249409787653,-0.210569435306381,44.376862,0.5271639,0.6703753,0.8432237,0.7567781,0.6149532,0.940704,1.039397,0.7404035,0.2286259,0.1924649,0.1905332
"7","White hake","Gulf of Maine / Georges Bank",2004,9470,"Abundance",-0.433432645790855,-0.676826458586653,-0.493918467021906,-0.717745457000659,44.357448,0.6133194,0.5967746,1.000311,0.6216949,0.6799735,1.025197,1.021822,0.5853726,0.2353096,0.1839394,0.2018344
"8","White hake","Gulf of Maine / Georges Bank",2005,9407,"Abundance",0.213847977095757,-0.706698069633157,0.271211222296616,-0.69947092241899,44.3481,0.5297025,0.7823995,0.899022,0.8599332,0.5762348,0.8528479,0.9133231,0.8073599,0.2405455,0.1914836,0.2228729
"9","White hake","Gulf of Maine / Georges Bank",2006,11826,"Abundance",0.730880576847257,0.395992648866442,0.772197954639255,0.383029448300294,44.31865,0.5804881,0.8103289,0.9970455,0.8914949,0.7019604,0.9266166,0.9003428,0.8999898,0.2667308,0.2237097,0.2150431
"10","White hake","Gulf of Maine / Georges Bank",2007,12624,"Abundance",0.0211188174676202,1.20246207325547,-0.0547485277676998,1.04510744604377,44.385102,0.5509412,0.7638599,0.909809,0.7719386,0.5554705,0.873216,0.9797527,0.7496913,0.2354709,0.2166687,0.2338975
