"","Species","Region","Time","Value","Metric","Warm_Core_Rings_n","summer_OI_SST_Anomaly_degreesC","summer_OI_SST_Anomaly_Winter_flounder_gom_both_degreesC","summer_OI_SST_Anomaly_Winter_flounder_sne_ma_both_degreesC","along_shelf_distance_km","Latitude_degreesN","Longitude_degreesW","southern_latitude","Abundance_Metric_Tons","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Winter flounder","Southern New England / Mid",1982,63254,"Recruitment",16,-0.740574637261172,-0.917027601696043,-0.668943159077877,792.6093421,40.22615099,-70.98198855,36.766667,22154,7.27647105785162
"2","Winter flounder","Southern New England / Mid",1983,42165,"Recruitment",14,-0.116152551916084,-0.50234812770533,-0.156890507525823,808.0424258,40.35608863,-70.90573945,36.4,19713,5.78752805584714
"3","Winter flounder","Southern New England / Mid",1984,36738,"Recruitment",20,-0.502073445366641,-0.251682011445894,-0.242520933167192,781.9913976,40.22562795,-71.16860054,37.15,17162,5.20611040014539
"4","Winter flounder","Southern New England / Mid",1985,42796,"Recruitment",17,0.200804522668694,-0.744455140569935,0.180822712282673,817.1288996,40.36599576,-70.75694284,37.083333,12155,6.76055976410869
"5","Winter flounder","Southern New England / Mid",1986,35216,"Recruitment",19,-0.51969470475176,-0.833518687963752,-0.687245000564932,812.2781223,40.33593084,-70.80416542,37.133333,9765,8.41133752735727
"6","Winter flounder","Southern New England / Mid",1987,34456,"Recruitment",15,0.128883508726794,-0.547704872080315,-0.129142161994476,817.1158713,40.37428663,-70.78087501,37.4,7963,6.16777649341004
"7","Winter flounder","Southern New England / Mid",1988,34108,"Recruitment",20,-0.491269422911643,-0.43702204490585,-0.252101197928489,817.6219601,40.45073261,-70.86739158,37.35,6551,4.95745297309715
"8","Winter flounder","Southern New England / Mid",1989,20372,"Recruitment",21,-0.00370989876764938,-0.133783462720039,-0.00490638771184848,796.5941413,40.29854875,-71.01460882,37.3,5724,4.13767980795599
"9","Winter flounder","Southern New England / Mid",1990,15478,"Recruitment",26,0.17897580992986,0.559739363499178,0.26761952881829,798.7623034,40.30155783,-70.97489654,38.733333,5751,3.18951244311742
"10","Winter flounder","Southern New England / Mid",1991,17281,"Recruitment",16,0.0450704179679597,-0.0850933903170006,0.0496504660832855,820.0910545,40.41864141,-70.77690834,38.616667,6055,3.43615713682841
"11","Winter flounder","Southern New England / Mid",1992,25443,"Recruitment",11,-1.03833517907997,-1.00169872387064,-0.99862209267441,828.446039,40.47955686,-70.72420001,38.45,5308,2.91931103692896
"12","Winter flounder","Southern New England / Mid",1993,18911,"Recruitment",13,-0.0364682548199191,-0.308265062744667,0.00811201345960555,817.3058002,40.36139547,-70.74041936,37,4252,2.44110948570262
"13","Winter flounder","Southern New England / Mid",1994,25525,"Recruitment",21,-0.804299787410976,0.105896004599208,-0.503820257601529,843.6565816,40.51182101,-70.50702448,38.533333,4359,2.53823378500309
"14","Winter flounder","Southern New England / Mid",1995,20751,"Recruitment",18,0.096000609309705,0.322562668235806,0.0517441177846614,858.3141769,40.67657842,-70.49086837,38.516667,6318,2.09285325320061
"15","Winter flounder","Southern New England / Mid",1996,29271,"Recruitment",20,-1.34159276320904,-0.855023700656698,-1.52491137343506,828.8794512,40.40761369,-70.61213514,38.366667,7082,1.7818406637159
"16","Winter flounder","Southern New England / Mid",1997,22820,"Recruitment",23,-0.388332452877858,-0.340018142160098,-0.201326109254637,826.4137543,40.46034533,-70.73484896,38.15,8355,2.01429356438314
"17","Winter flounder","Southern New England / Mid",1998,15964,"Recruitment",22,0.137935823364245,0.12519646461725,0.252648785680432,838.0346349,40.58397623,-70.71977025,35.8,8645,1.79260316828951
"18","Winter flounder","Southern New England / Mid",1999,13262,"Recruitment",20,0.470858581429574,0.862774480545403,0.75030847967269,831.5220071,40.48861163,-70.68643348,37.261833,9190,1.9499994572924
"19","Winter flounder","Southern New England / Mid",2000,15640,"Recruitment",27,-0.460984854696768,0.331648514555184,-0.295288490371959,859.7844628,40.67540363,-70.46292463,37.391,10011,2.38501518124824
"20","Winter flounder","Southern New England / Mid",2001,7646,"Recruitment",36,0.0568221098416188,0.24705821933555,0.33588792288981,842.540767,40.53551709,-70.56903206,38.401878,9374,2.11913563781022
"21","Winter flounder","Southern New England / Mid",2002,7562,"Recruitment",32,0.497683471238748,0.891631785310897,0.578368687868917,860.6596093,40.71166794,-70.50113143,37.301333,7188,2.20100690144608
"22","Winter flounder","Southern New England / Mid",2003,15520,"Recruitment",42,-0.382850163869673,0.037194790515878,-0.0809005381670289,851.666238,40.59326909,-70.49614997,38.3145,6628,2.43994708716007
"23","Winter flounder","Southern New England / Mid",2004,13393,"Recruitment",36,0.115295996919485,-0.683984129989692,-0.0327759549769269,823.4554738,40.43264261,-70.74083783,38.476833,5919,2.23179050013897
"24","Winter flounder","Southern New England / Mid",2005,7393,"Recruitment",41,1.02076625856725,0.0755559741586893,1.01210278188903,839.2541229,40.46426535,-70.5168912,38.629585,5386,2.00177382992635
"25","Winter flounder","Southern New England / Mid",2006,6157,"Recruitment",39,0.27855741351496,0.672994652719401,0.351219025264218,855.8629659,40.65232782,-70.50544152,37.517417,5844,2.06771668484637
"26","Winter flounder","Southern New England / Mid",2007,9140,"Recruitment",35,0.498893873035069,0.328755546174321,0.167383750226584,844.7495694,40.522895,-70.4982223,38.860328,6710,2.1508140608002
"27","Winter flounder","Southern New England / Mid",2008,7075,"Recruitment",38,0.237781795492079,0.927947270032954,0.222771697618491,856.632906,40.64940364,-70.47681277,38.739918,5801,2.31398879257961
"28","Winter flounder","Southern New England / Mid",2009,6532,"Recruitment",31,0.508458531436119,0.709477376512593,0.472862824229491,848.6868181,40.59044988,-70.54315837,39.780422,5178,1.86641432356701
"29","Winter flounder","Southern New England / Mid",2010,4873,"Recruitment",33,1.22219568595357,1.48947459080546,1.15522234623249,841.6310066,40.54577301,-70.58712033,39.478947,5878,2.83972571969491
"30","Winter flounder","Southern New England / Mid",2011,4464,"Recruitment",32,0.741285713697074,1.20316186504088,0.628371189430009,834.7560009,40.48660363,-70.62489092,39.090902,6932,2.61064653890135
"31","Winter flounder","Southern New England / Mid",2012,2390,"Recruitment",31,1.81398287398117,2.54972538953375,2.08703170572236,864.6159013,40.79419136,-70.55718802,38.995655,6964,2.66219618460158
"32","Winter flounder","Southern New England / Mid",2013,4102,"Recruitment",24,0.255867333517767,1.28888651094043,0.434214843555438,873.4671619,40.7457291,-70.33436727,39.16,6763,3.4275632097748
"33","Winter flounder","Southern New England / Mid",2014,5742,"Recruitment",25,0.807769217515482,1.29799185601897,0.868856967253031,914.2246527,41.068272,-70.09433965,39.322335,5661,2.79152578434186
"34","Winter flounder","Southern New England / Mid",2015,7549,"Recruitment",33,1.92266649864881,1.54415126628302,1.97493552986196,868.7240872,40.70259772,-70.34962414,38.88745,5090,2.76964968292129
