"","Species","Region","Time","Value","Metric","Abundance_Metric_Tons"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1913,54826,"Recruitment",671466
"2","Acadian redfish","Gulf of Maine / Georges Bank",1914,54826,"Recruitment",671462
"3","Acadian redfish","Gulf of Maine / Georges Bank",1915,54826,"Recruitment",671446
"4","Acadian redfish","Gulf of Maine / Georges Bank",1916,54827,"Recruitment",671431
"5","Acadian redfish","Gulf of Maine / Georges Bank",1917,54827,"Recruitment",671423
"6","Acadian redfish","Gulf of Maine / Georges Bank",1918,54828,"Recruitment",671442
"7","Acadian redfish","Gulf of Maine / Georges Bank",1919,54831,"Recruitment",671540
"8","Acadian redfish","Gulf of Maine / Georges Bank",1920,54835,"Recruitment",671726
"9","Acadian redfish","Gulf of Maine / Georges Bank",1921,54840,"Recruitment",671979
"10","Acadian redfish","Gulf of Maine / Georges Bank",1922,54846,"Recruitment",672302
"11","Acadian redfish","Gulf of Maine / Georges Bank",1923,54854,"Recruitment",672677
"12","Acadian redfish","Gulf of Maine / Georges Bank",1924,54862,"Recruitment",673081
"13","Acadian redfish","Gulf of Maine / Georges Bank",1925,54871,"Recruitment",673501
"14","Acadian redfish","Gulf of Maine / Georges Bank",1926,54880,"Recruitment",673951
"15","Acadian redfish","Gulf of Maine / Georges Bank",1927,54890,"Recruitment",674411
"16","Acadian redfish","Gulf of Maine / Georges Bank",1928,54899,"Recruitment",674870
"17","Acadian redfish","Gulf of Maine / Georges Bank",1929,54908,"Recruitment",675327
"18","Acadian redfish","Gulf of Maine / Georges Bank",1930,54916,"Recruitment",675789
"19","Acadian redfish","Gulf of Maine / Georges Bank",1931,54924,"Recruitment",676216
"20","Acadian redfish","Gulf of Maine / Georges Bank",1932,54931,"Recruitment",676626
"21","Acadian redfish","Gulf of Maine / Georges Bank",1933,54938,"Recruitment",677034
"22","Acadian redfish","Gulf of Maine / Georges Bank",1934,54939,"Recruitment",677242
"23","Acadian redfish","Gulf of Maine / Georges Bank",1935,54888,"Recruitment",674432
"24","Acadian redfish","Gulf of Maine / Georges Bank",1936,54651,"Recruitment",661322
"25","Acadian redfish","Gulf of Maine / Georges Bank",1937,54302,"Recruitment",642707
"26","Acadian redfish","Gulf of Maine / Georges Bank",1938,53981,"Recruitment",626907
"27","Acadian redfish","Gulf of Maine / Georges Bank",1939,53536,"Recruitment",606169
"28","Acadian redfish","Gulf of Maine / Georges Bank",1940,52990,"Recruitment",582590
"29","Acadian redfish","Gulf of Maine / Georges Bank",1941,52151,"Recruitment",548917
