"","Species","Region","Time","Value","Metric","calminor_100m3_annual","cory_100m3_annual"
"1","Black sea bass","Mid",1988,3181,"Abundance",-0.525719929377874,-0.375142286053585
"2","Black sea bass","Mid",1989,3044,"Abundance",-1.13946329931123,-0.697460774243679
"3","Black sea bass","Mid",1990,3134,"Abundance",-0.851122937101739,-0.361352591213344
"4","Black sea bass","Mid",1991,3433,"Abundance",-0.852105657675273,-0.314493518464093
"5","Black sea bass","Mid",1992,3449,"Abundance",-0.740849741387329,-0.51781243827594
"6","Black sea bass","Mid",1993,3475,"Abundance",-0.521750619174602,-0.294864387527263
"7","Black sea bass","Mid",1994,4089,"Abundance",0.0141434206909868,-0.146687098826675
"8","Black sea bass","Mid",1995,4308,"Abundance",0.211396479987474,-0.0505401077572931
"9","Black sea bass","Mid",1996,4131,"Abundance",-0.63850731348839,-0.496462766713114
"10","Black sea bass","Mid",1997,4636,"Abundance",0.0268277117478768,0.113215028251605
"11","Black sea bass","Mid",1998,5893,"Abundance",-0.0666627430135465,-0.126937500463664
"12","Black sea bass","Mid",1999,7483,"Abundance",0.511396287120623,0.582597309011421
"13","Black sea bass","Mid",2000,9557,"Abundance",0.321119085812489,0.159362839260089
"14","Black sea bass","Mid",2001,10081,"Abundance",0.337803071393435,0.303019077094733
"15","Black sea bass","Mid",2002,9580,"Abundance",0.387778178350618,0.459471534533851
"16","Black sea bass","Mid",2003,8247,"Abundance",0.522146812248846,0.351629270022448
"17","Black sea bass","Mid",2004,7771,"Abundance",0.149028780434401,-0.170915325389897
"18","Black sea bass","Mid",2005,6443,"Abundance",0.0290387870248059,-0.277654131800661
"19","Black sea bass","Mid",2006,6726,"Abundance",0.585913992245656,0.285876733381198
"20","Black sea bass","Mid",2007,9544,"Abundance",0.248936754074209,-0.0986038350781093
"21","Black sea bass","Mid",2008,11125,"Abundance",0.463406776907265,0.320063439156398
