"","Species","Region","Time","Value","Metric","pseudocalanus_zoo_spring_log_N_m__3"
"1","Pollock","Gulf of Maine / Georges Bank",1977,14100,"Recruitment",3.01130871426312
"2","Pollock","Gulf of Maine / Georges Bank",1978,29800,"Recruitment",2.63966618690106
"3","Pollock","Gulf of Maine / Georges Bank",1979,30100,"Recruitment",3.73610607048415
"4","Pollock","Gulf of Maine / Georges Bank",1980,23700,"Recruitment",3.17172284012035
"5","Pollock","Gulf of Maine / Georges Bank",1981,17300,"Recruitment",3.17927419113528
"6","Pollock","Gulf of Maine / Georges Bank",1982,21000,"Recruitment",3.06079680829758
"7","Pollock","Gulf of Maine / Georges Bank",1983,15000,"Recruitment",2.9153906276638
"8","Pollock","Gulf of Maine / Georges Bank",1984,18100,"Recruitment",2.92281329607243
"9","Pollock","Gulf of Maine / Georges Bank",1985,20000,"Recruitment",2.53747347590754
"10","Pollock","Gulf of Maine / Georges Bank",1986,17100,"Recruitment",2.29873455602757
"11","Pollock","Gulf of Maine / Georges Bank",1987,24300,"Recruitment",3.37849256310151
"12","Pollock","Gulf of Maine / Georges Bank",1988,10600,"Recruitment",2.50257108146445
"13","Pollock","Gulf of Maine / Georges Bank",1992,34800,"Recruitment",3.4014795142934
"14","Pollock","Gulf of Maine / Georges Bank",1993,20400,"Recruitment",3.54239176807734
"15","Pollock","Gulf of Maine / Georges Bank",1995,33300,"Recruitment",3.85370983281247
"16","Pollock","Gulf of Maine / Georges Bank",1996,28000,"Recruitment",3.70482275028744
"17","Pollock","Gulf of Maine / Georges Bank",1997,48400,"Recruitment",3.50463995094661
"18","Pollock","Gulf of Maine / Georges Bank",1998,54300,"Recruitment",3.61069448536255
"19","Pollock","Gulf of Maine / Georges Bank",1999,52600,"Recruitment",4.0192400450308
"20","Pollock","Gulf of Maine / Georges Bank",2000,34300,"Recruitment",4.09621301399713
"21","Pollock","Gulf of Maine / Georges Bank",2001,36500,"Recruitment",4.35429374071383
"22","Pollock","Gulf of Maine / Georges Bank",2002,19500,"Recruitment",2.29498039694135
"23","Pollock","Gulf of Maine / Georges Bank",2003,21500,"Recruitment",3.42781420417168
"24","Pollock","Gulf of Maine / Georges Bank",2004,18000,"Recruitment",3.18320612442874
"25","Pollock","Gulf of Maine / Georges Bank",2005,22300,"Recruitment",2.41268755214711
"26","Pollock","Gulf of Maine / Georges Bank",2006,20300,"Recruitment",2.01124249225357
"27","Pollock","Gulf of Maine / Georges Bank",2007,18200,"Recruitment",2.61224738322168
"28","Pollock","Gulf of Maine / Georges Bank",2008,12400,"Recruitment",2.32855446602971
