"","Species","Region","Time","Value","Metric","northern_latitude","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","White hake","Gulf of Maine / Georges Bank",1982,26037,"Abundance",44.783333,7.27647105785162
"2","White hake","Gulf of Maine / Georges Bank",1983,23221,"Abundance",44.783333,5.78752805584714
"3","White hake","Gulf of Maine / Georges Bank",1984,20016,"Abundance",44.35,5.20611040014539
"4","White hake","Gulf of Maine / Georges Bank",1985,16677,"Abundance",44.733333,6.76055976410869
"5","White hake","Gulf of Maine / Georges Bank",1986,14839,"Abundance",44.383333,8.41133752735727
"6","White hake","Gulf of Maine / Georges Bank",1987,14002,"Abundance",44.316667,6.16777649341004
"7","White hake","Gulf of Maine / Georges Bank",1988,13146,"Abundance",44.316667,4.95745297309715
"8","White hake","Gulf of Maine / Georges Bank",1989,13412,"Abundance",44.366667,4.13767980795599
"9","White hake","Gulf of Maine / Georges Bank",1990,13494,"Abundance",44.35,3.18951244311742
"10","White hake","Gulf of Maine / Georges Bank",1991,14307,"Abundance",44.416667,3.43615713682841
"11","White hake","Gulf of Maine / Georges Bank",1992,12199,"Abundance",44.183333,2.91931103692896
"12","White hake","Gulf of Maine / Georges Bank",1993,9468,"Abundance",44.35,2.44110948570262
"13","White hake","Gulf of Maine / Georges Bank",1994,8417,"Abundance",44.333333,2.53823378500309
"14","White hake","Gulf of Maine / Georges Bank",1995,8274,"Abundance",44.333333,2.09285325320061
"15","White hake","Gulf of Maine / Georges Bank",1996,8180,"Abundance",44.433333,1.7818406637159
"16","White hake","Gulf of Maine / Georges Bank",1997,9418,"Abundance",44.35,2.01429356438314
"17","White hake","Gulf of Maine / Georges Bank",1998,9599,"Abundance",44.3,1.79260316828951
"18","White hake","Gulf of Maine / Georges Bank",1999,9395,"Abundance",44.329167,1.9499994572924
"19","White hake","Gulf of Maine / Georges Bank",2000,10639,"Abundance",44.305667,2.38501518124824
"20","White hake","Gulf of Maine / Georges Bank",2001,12440,"Abundance",44.395035,2.11913563781022
"21","White hake","Gulf of Maine / Georges Bank",2002,12753,"Abundance",44.398833,2.20100690144608
"22","White hake","Gulf of Maine / Georges Bank",2003,11265,"Abundance",44.376862,2.43994708716007
"23","White hake","Gulf of Maine / Georges Bank",2004,9470,"Abundance",44.357448,2.23179050013897
"24","White hake","Gulf of Maine / Georges Bank",2005,9407,"Abundance",44.3481,2.00177382992635
"25","White hake","Gulf of Maine / Georges Bank",2006,11826,"Abundance",44.31865,2.06771668484637
"26","White hake","Gulf of Maine / Georges Bank",2007,12624,"Abundance",44.385102,2.1508140608002
"27","White hake","Gulf of Maine / Georges Bank",2008,12471,"Abundance",44.384095,2.31398879257961
