"","Species","Region","Time","Value","Metric","Recruitment"
"1","Yellowtail flounder","Southern New England / Mid",1973,9804,"Abundance",41274
"2","Yellowtail flounder","Southern New England / Mid",1974,3339,"Abundance",14845
"3","Yellowtail flounder","Southern New England / Mid",1975,4818,"Abundance",41871
"4","Yellowtail flounder","Southern New England / Mid",1976,4448,"Abundance",18135
"5","Yellowtail flounder","Southern New England / Mid",1977,6888,"Abundance",65781
"6","Yellowtail flounder","Southern New England / Mid",1978,9203,"Abundance",68130
"7","Yellowtail flounder","Southern New England / Mid",1979,9520,"Abundance",51888
"8","Yellowtail flounder","Southern New England / Mid",1980,11167,"Abundance",64074
"9","Yellowtail flounder","Southern New England / Mid",1981,20856,"Abundance",173768
"10","Yellowtail flounder","Southern New England / Mid",1982,18078,"Abundance",83688
"11","Yellowtail flounder","Southern New England / Mid",1983,5888,"Abundance",19387
"12","Yellowtail flounder","Southern New England / Mid",1984,2969,"Abundance",24751
"13","Yellowtail flounder","Southern New England / Mid",1985,3224,"Abundance",30638
"14","Yellowtail flounder","Southern New England / Mid",1986,1987,"Abundance",9369
"15","Yellowtail flounder","Southern New England / Mid",1987,2942,"Abundance",17690
"16","Yellowtail flounder","Southern New England / Mid",1988,15314,"Abundance",184839
"17","Yellowtail flounder","Southern New England / Mid",1989,11436,"Abundance",42612
"18","Yellowtail flounder","Southern New England / Mid",1990,4149,"Abundance",11763
"19","Yellowtail flounder","Southern New England / Mid",1991,1720,"Abundance",3871
"20","Yellowtail flounder","Southern New England / Mid",1992,1079,"Abundance",3258
"21","Yellowtail flounder","Southern New England / Mid",1993,684,"Abundance",3610
"22","Yellowtail flounder","Southern New England / Mid",1994,961,"Abundance",7778
"23","Yellowtail flounder","Southern New England / Mid",1995,1665,"Abundance",6746
"24","Yellowtail flounder","Southern New England / Mid",1996,1420,"Abundance",4897
"25","Yellowtail flounder","Southern New England / Mid",1997,1692,"Abundance",11114
"26","Yellowtail flounder","Southern New England / Mid",1998,1800,"Abundance",6378
"27","Yellowtail flounder","Southern New England / Mid",1999,1929,"Abundance",9883
"28","Yellowtail flounder","Southern New England / Mid",2000,1746,"Abundance",5812
"29","Yellowtail flounder","Southern New England / Mid",2001,1418,"Abundance",4518
"30","Yellowtail flounder","Southern New England / Mid",2002,1086,"Abundance",2036
"31","Yellowtail flounder","Southern New England / Mid",2003,743,"Abundance",1832
"32","Yellowtail flounder","Southern New England / Mid",2004,725,"Abundance",2938
"33","Yellowtail flounder","Southern New England / Mid",2005,1155,"Abundance",7848
"34","Yellowtail flounder","Southern New England / Mid",2006,1636,"Abundance",5809
"35","Yellowtail flounder","Southern New England / Mid",2007,1656,"Abundance",2608
"36","Yellowtail flounder","Southern New England / Mid",2008,1645,"Abundance",3985
