"","Species","Region","Time","Value","Metric","cumulative_intensity_degrees_C_annual_mean","cumulative_intensity_stock_degrees_C_annual_mean","summer_OI_SST_Anomaly_degreesC","fall_OI_SST_Anomaly_degreesC","summer_OI_SST_Anomaly_stock_degreesC","fall_OI_SST_Anomaly_stock_degreesC","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","MONTHLY_CHLOR_A_RATIO_ANOMALY_month_01_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_01_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_05_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_06_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_46_"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1999,66552,"Abundance",100.1712,125.3679,1.00694564529087,0.516498333820399,1.14047741931752,0.620464814244279,40.48861163,-70.68643348,831.5220071,0.9519618,1.041119,1.035531,1.080161,1.036447
"2","Acadian redfish","Gulf of Maine / Georges Bank",2000,80354,"Abundance",32.7256,34.5417,0.292134068323218,0.314385437015174,0.359198509810852,0.314107663938339,40.67540363,-70.46292463,859.7844628,0.7804797,0.7698799,0.7522388,0.8006698,0.7402602
"3","Acadian redfish","Gulf of Maine / Georges Bank",2001,94675,"Abundance",21.2492,10.0516,0.198789867024491,0.325727504880533,0.197656613663572,0.367186416666772,40.53551709,-70.56903206,842.540767,0.7433259,0.5929845,0.8267196,1.059058,0.7593004
"4","Acadian redfish","Gulf of Maine / Georges Bank",2002,109475,"Abundance",64.5322,62.3533,0.754131338993709,0.621463912595873,0.83095603403838,0.638165549049873,40.71166794,-70.50113143,860.6596093,0.8196304,0.7685251,0.8927262,0.9069324,0.7804564
"5","Acadian redfish","Gulf of Maine / Georges Bank",2003,125063,"Abundance",11.4838,17.9527,0.229822473508722,-0.0531646917695578,0.258498121862825,0.0102360440420739,40.59326909,-70.49614997,851.666238,0.8432237,0.940704,1.039397,0.9133586,0.7404035
"6","Acadian redfish","Gulf of Maine / Georges Bank",2005,158775,"Abundance",13.8315,17.2383,-0.041362312479297,0.213847977095757,-0.136515024918827,0.265049323627691,40.46426535,-70.5168912,839.2541229,0.899022,0.8528479,0.9133231,0.9438691,0.8073599
"7","Acadian redfish","Gulf of Maine / Georges Bank",2006,176793,"Abundance",113.1436,105.2917,0.600586047379867,0.730880576847257,0.567585594272881,0.771170457859027,40.65232782,-70.50544152,855.8629659,0.9970455,0.9266166,0.9003428,1.139803,0.8999898
"8","Acadian redfish","Gulf of Maine / Georges Bank",2007,195269,"Abundance",33.61,26.3606,0.226432080718055,0.0211188174676202,0.0655694873938231,-0.0422902533583347,40.522895,-70.4982223,844.7495694,0.909809,0.873216,0.9797527,0.9672439,0.7496913
"9","Acadian redfish","Gulf of Maine / Georges Bank",2008,214003,"Abundance",67.9784,46.0673,1.02729256274043,0.316268055702233,0.933095759964257,0.308614252236424,40.64940364,-70.47681277,856.632906,0.8997827,0.8883105,0.9000603,0.9636427,1.39528
"10","Acadian redfish","Gulf of Maine / Georges Bank",2009,233719,"Abundance",51.7841,46.1783,0.702125908326412,0.462238371760948,0.648515650216194,0.452335434031854,40.59044988,-70.54315837,848.6868181,0.9429844,1.063981,0.9417088,0.958092,1.38831
"11","Acadian redfish","Gulf of Maine / Georges Bank",2010,255536,"Abundance",262.2376,251.3424,1.81613222464271,0.580941268197005,1.81524160717514,0.609321754493687,40.54577301,-70.58712033,841.6310066,1.055901,1.22392,1.119807,1.078692,0.9644939
"12","Acadian redfish","Gulf of Maine / Georges Bank",2011,280625,"Abundance",469.6205,452.3913,1.1061376651992,1.44441860188609,1.0286637737741,1.38721794964221,40.48660363,-70.62489092,834.7560009,1.521717,1.326295,1.281118,1.073606,1.32822
"13","Acadian redfish","Gulf of Maine / Georges Bank",2012,308901,"Abundance",620.1438,628.4372,2.67646462424942,1.94633342795735,2.71752068162132,2.049005300123,40.79419136,-70.55718802,864.6159013,1.218526,1.299907,1.109501,1.128623,1.365227
"14","Acadian redfish","Gulf of Maine / Georges Bank",2013,339804,"Abundance",242.3977,250.5218,1.4327508882336,0.895867891674456,1.40452544769431,0.950910982000543,40.7457291,-70.33436727,873.4671619,1.188932,1.049841,1.122431,1.227408,1.386477
"15","Acadian redfish","Gulf of Maine / Georges Bank",2014,372523,"Abundance",294.0881,314.0123,1.57701174780942,1.43767403692439,1.61105419258583,1.59169287392334,41.068272,-70.09433965,914.2246527,1.250663,1.14024,1.112321,1.120191,1.419414
"16","Acadian redfish","Gulf of Maine / Georges Bank",2015,404690,"Abundance",278.9725,288.114,1.92090214128079,1.42531715298908,1.89642760119967,1.47336977256297,40.70259772,-70.34962414,868.7240872,1.171049,1.32534,1.236457,1.547959,1.457205
"17","Acadian redfish","Gulf of Maine / Georges Bank",2016,359970,"Abundance",629.7934,620.4591,2.59169016990109,1.64823307135459,2.60253908983621,1.63313988635337,40.90619759,-70.35421539,885.7850977,1.38341,1.508646,1.299663,1.234706,1.727655
