"","Species","Region","Time","Value","Metric","GLORYS_bottom_temp_anomaly_degreesC","MONTHLY_CHLOR_A_MEDIAN_month_12_mg_m__3","WEEKLY_CHLOR_A_MEDIAN_week_45_mg_m__3","WEEKLY_CHLOR_A_MEDIAN_week_52_mg_m__3","WEEKLY_PPD_MEDIAN_week_11_gCarbon_m_2_Day"
"1","American plaice","Gulf of Maine / Georges Bank",1998,11152,"Abundance",-0.518909817,0.8513212,1.009889,0.7431802,0.2626825
"2","American plaice","Gulf of Maine / Georges Bank",1999,9631,"Abundance",-0.008170778,0.667548,1.416131,0.6137915,0.317443
"3","American plaice","Gulf of Maine / Georges Bank",2000,9992,"Abundance",0.446816123,0.7230886,0.9772308,0.619663,0.2697852
"4","American plaice","Gulf of Maine / Georges Bank",2001,9602,"Abundance",0.096358348,0.6296651,0.7227981,0.5325204,0.3055742
"5","American plaice","Gulf of Maine / Georges Bank",2002,7499,"Abundance",0.43727551,0.5020178,0.6801487,0.4773991,0.2728689
"6","American plaice","Gulf of Maine / Georges Bank",2003,5947,"Abundance",-0.291764338,0.5567342,0.7418348,0.552322,0.2617585
"7","American plaice","Gulf of Maine / Georges Bank",2004,4876,"Abundance",-0.846661798,0.5347871,0.6622808,0.5323563,0.2713808
"8","American plaice","Gulf of Maine / Georges Bank",2005,4798,"Abundance",-0.561707206,0.6615309,0.9119702,0.6927116,0.2528267
"9","American plaice","Gulf of Maine / Georges Bank",2006,5534,"Abundance",0.405892245,0.6467494,0.8182077,0.5682259,0.3098069
"10","American plaice","Gulf of Maine / Georges Bank",2007,7149,"Abundance",-0.259748125,0.5437412,0.7665688,0.5430187,0.2599464
"11","American plaice","Gulf of Maine / Georges Bank",2008,9783,"Abundance",-0.429896651,0.7387753,0.9786857,0.5783333,0.2798841
"12","American plaice","Gulf of Maine / Georges Bank",2009,10726,"Abundance",-0.446050276,0.7895763,0.808046,0.6368338,0.3008673
"13","American plaice","Gulf of Maine / Georges Bank",2010,11038,"Abundance",0.45745599,0.8274397,0.9201347,0.7868329,0.2987127
"14","American plaice","Gulf of Maine / Georges Bank",2011,11415,"Abundance",0.962343241,1.223012,1.372538,1.211479,0.3170862
"15","American plaice","Gulf of Maine / Georges Bank",2012,11635,"Abundance",1.219864389,1.238168,1.47427,1.029688,0.3564196
"16","American plaice","Gulf of Maine / Georges Bank",2013,12214,"Abundance",1.169083437,0.888004,1.459572,0.7282406,0.3381222
"17","American plaice","Gulf of Maine / Georges Bank",2014,13073,"Abundance",0.986840565,0.8826337,1.25833,0.9056044,0.334962
"18","American plaice","Gulf of Maine / Georges Bank",2015,12952,"Abundance",1.088567344,1.255949,1.869925,1.187997,0.4345238
"19","American plaice","Gulf of Maine / Georges Bank",2016,15148,"Abundance",1.472046932,0.8117108,1.565827,0.8209961,0.4406897
"20","American plaice","Gulf of Maine / Georges Bank",2017,24167,"Abundance",1.287989916,1.412801,1.803105,1.257506,0.4781024
"21","American plaice","Gulf of Maine / Georges Bank",2018,17748,"Abundance",1.373104793,1.147207,1.303259,1.139837,0.3244252
