"","Species","Region","Time","Value","Metric","Warm_Core_Rings_n","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","northern_latitude","southern_latitude","MONTHLY_PPD_MEDIAN_month_07_gCarbon_m_2_Day","MONTHLY_PPD_MEDIAN_month_08_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_31_gCarbon_m_2_Day","WEEKLY_PPD_RATIO_ANOMALY_week_30_","WEEKLY_PPD_RATIO_ANOMALY_week_31_","WEEKLY_PPD_RATIO_ANOMALY_week_34_","spring_stock_gC_m_2_d_1","Recruitment","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic wolffish","Gulf of Maine / Georges Bank",1998,977,"Abundance",22,40.58397623,-70.71977025,838.0346349,43.65,42,0.7359551,0.8677391,0.862168,0.783461,0.7275527,0.8658809,0.539393704113203,121,1.79260316828951
"2","Atlantic wolffish","Gulf of Maine / Georges Bank",1999,867,"Abundance",20,40.48861163,-70.68643348,831.5220071,43.560167,41.851333,0.8393661,0.9660626,1.005485,0.7247117,0.8253437,0.7584273,0.624511550410397,85,1.9499994572924
"3","Atlantic wolffish","Gulf of Maine / Georges Bank",2000,814,"Abundance",27,40.67540363,-70.46292463,859.7844628,43.563333,42.358667,0.8892903,1.064999,1.023094,0.7983721,0.8349309,1.017859,0.657983132989745,69,2.38501518124824
"4","Atlantic wolffish","Gulf of Maine / Georges Bank",2001,802,"Abundance",36,40.53551709,-70.56903206,842.540767,44.024662,41.52865,0.7976294,0.950203,0.972145,0.7720001,0.8126169,0.8663276,0.577394019185836,73,2.11913563781022
"5","Atlantic wolffish","Gulf of Maine / Georges Bank",2002,735,"Abundance",32,40.71166794,-70.50113143,860.6596093,44.187833,41.363333,1.157694,1.246622,1.278432,1.033344,0.9945396,1.005852,0.741255414169801,74,2.20100690144608
"6","Atlantic wolffish","Gulf of Maine / Georges Bank",2003,716,"Abundance",42,40.59326909,-70.49614997,851.666238,43.840667,42.187977,1.097557,1.196714,1.1597,0.9119532,0.9456992,0.9871593,0.710725987475764,77,2.43994708716007
"7","Atlantic wolffish","Gulf of Maine / Georges Bank",2004,639,"Abundance",36,40.43264261,-70.74083783,823.4554738,43.099918,41.3695,1.081729,1.053661,1.123885,1.008574,0.9599637,0.8872401,0.741689800020631,65,2.23179050013897
"8","Atlantic wolffish","Gulf of Maine / Georges Bank",2005,556,"Abundance",41,40.46426535,-70.5168912,839.2541229,43.068583,41.931817,1.03291,1.217052,1.27554,1.038758,1.061527,1.087908,0.661223358468107,53,2.00177382992635
"9","Atlantic wolffish","Gulf of Maine / Georges Bank",2006,453,"Abundance",39,40.65232782,-70.50544152,855.8629659,44.089283,42.098983,1.224072,1.308472,1.308445,1.134688,1.124002,1.135648,0.786782459570042,74,2.06771668484637
"10","Atlantic wolffish","Gulf of Maine / Georges Bank",2007,368,"Abundance",35,40.522895,-70.4982223,844.7495694,43.107317,41.563882,1.278648,1.293869,1.543302,1.209424,1.278968,1.03147,0.724338713909564,87,2.1508140608002
"11","Atlantic wolffish","Gulf of Maine / Georges Bank",2008,335,"Abundance",38,40.64940364,-70.47681277,856.632906,43.172645,42.312393,1.328353,1.314721,1.533503,1.328308,1.265561,1.167058,0.817480441306653,67,2.31398879257961
"12","Atlantic wolffish","Gulf of Maine / Georges Bank",2009,296,"Abundance",31,40.59044988,-70.54315837,848.6868181,43.665663,41.99215,1.197759,1.266206,1.326689,1.052108,1.063422,1.1421,0.833459534483814,64,1.86641432356701
"13","Atlantic wolffish","Gulf of Maine / Georges Bank",2010,303,"Abundance",33,40.54577301,-70.58712033,841.6310066,43.841237,41.432162,1.188002,1.370824,1.36242,1.107408,1.167201,1.176846,0.826275976402882,80,2.83972571969491
"14","Atlantic wolffish","Gulf of Maine / Georges Bank",2011,353,"Abundance",32,40.48660363,-70.62489092,834.7560009,42.85866,41.137282,1.019638,1.20951,1.14908,1.009906,0.9973441,1.21468,0.771306604697185,86,2.61064653890135
"15","Atlantic wolffish","Gulf of Maine / Georges Bank",2012,410,"Abundance",31,40.79419136,-70.55718802,864.6159013,43.167368,41.152358,1.259226,1.257035,1.219223,1.058581,1.072019,1.135239,0.894659480129404,127,2.66219618460158
"16","Atlantic wolffish","Gulf of Maine / Georges Bank",2013,477,"Abundance",24,40.7457291,-70.33436727,873.4671619,42.8045,41.860705,1.259573,1.109718,1.3422,1.085792,1.231726,0.9193926,0.730577209914661,288,3.4275632097748
"17","Atlantic wolffish","Gulf of Maine / Georges Bank",2014,537,"Abundance",25,41.068272,-70.09433965,914.2246527,43.095105,41.361117,1.197079,1.209155,1.227069,1.109069,1.01942,0.9947109,0.792933040777242,289,2.79152578434186
"18","Atlantic wolffish","Gulf of Maine / Georges Bank",2015,593,"Abundance",33,40.70259772,-70.34962414,868.7240872,42.91622,41.380153,1.09489,1.184258,1.199977,1.039828,0.9830209,1.074663,0.708147216668958,289,2.76964968292129
"19","Atlantic wolffish","Gulf of Maine / Georges Bank",2016,652,"Abundance",26,40.90619759,-70.35421539,885.7850977,43.392167,41.49963,1.292643,1.244167,1.207878,1.168779,1.014765,1.117823,0.794985383583857,289,2.36701737377916
