"","Species","Region","Time","Value","Metric","spring_OI_SST_Anomaly_degreesC","spring_OI_SST_Anomaly_stock_degreesC"
"1","Little skate","Georges Bank / Southern New England",1984,3.99399995803833,"Abundance",0.0528711667487052,-0.34570309629159
"2","Little skate","Georges Bank / Southern New England",1985,4.89099979400635,"Abundance",0.296310983182176,0.0793898880054211
"3","Little skate","Georges Bank / Southern New England",1986,4.07299995422363,"Abundance",0.468328247051064,0.248358167919786
"4","Little skate","Georges Bank / Southern New England",1987,4.20699977874756,"Abundance",-0.0954696786967766,-0.500124420539278
"5","Little skate","Georges Bank / Southern New England",1988,3.83999991416931,"Abundance",-0.182242207156918,-0.432028079100801
"6","Little skate","Georges Bank / Southern New England",1989,5.11399984359741,"Abundance",-0.171411591651969,0.19604364615744
"7","Little skate","Georges Bank / Southern New England",1990,5.42500019073486,"Abundance",0.0447007594661439,-0.16538463269381
"8","Little skate","Georges Bank / Southern New England",1991,5.36399984359741,"Abundance",0.384540406731004,0.435922364799888
"9","Little skate","Georges Bank / Southern New England",1992,4.90700006484985,"Abundance",-0.764323824460364,-1.21629029497234
"10","Little skate","Georges Bank / Southern New England",1993,5.65299987792969,"Abundance",-0.232134843332455,-0.707076812840825
"11","Little skate","Georges Bank / Southern New England",1994,5.15100002288818,"Abundance",0.491046342167465,0.192048315290094
"12","Little skate","Georges Bank / Southern New England",1995,4.36600017547607,"Abundance",-0.947277235594479,-0.568072661382278
"13","Little skate","Georges Bank / Southern New England",1996,4.18800020217896,"Abundance",-0.54906760218201,-0.588291750172425
"14","Little skate","Georges Bank / Southern New England",1997,3.89400005340576,"Abundance",-0.697970225421216,-0.70136509052252
"15","Little skate","Georges Bank / Southern New England",1998,4.70599985122681,"Abundance",-0.15118172083716,-0.273024837658022
"16","Little skate","Georges Bank / Southern New England",1999,5.46299982070923,"Abundance",0.861087824951294,0.4623506500982
"17","Little skate","Georges Bank / Southern New England",2000,6.71400022506714,"Abundance",0.629741902937875,0.470084161572478
"18","Little skate","Georges Bank / Southern New England",2001,7.26000022888184,"Abundance",0.421438806926918,0.0150685881849668
"19","Little skate","Georges Bank / Southern New England",2002,6.28299999237061,"Abundance",0.710780581596,0.449596847593879
"20","Little skate","Georges Bank / Southern New England",2003,6.2810001373291,"Abundance",-0.634804716557232,-1.15019500821901
"21","Little skate","Georges Bank / Southern New England",2004,6.01900005340576,"Abundance",-0.780607277849724,-0.676094283139658
"22","Little skate","Georges Bank / Southern New England",2005,5.07499980926514,"Abundance",-0.157842408757917,-0.790150035524835
"23","Little skate","Georges Bank / Southern New England",2006,4.13500022888184,"Abundance",0.224173731802825,0.101759641415066
"24","Little skate","Georges Bank / Southern New England",2007,3.48900008201599,"Abundance",-1.05127364933076,-0.76076297297371
"25","Little skate","Georges Bank / Southern New England",2008,4.54099988937378,"Abundance",-0.128439485315923,0.0394054162008555
"26","Little skate","Georges Bank / Southern New England",2009,5.63899993896484,"Abundance",0.169820741758027,-0.0990773407292078
"27","Little skate","Georges Bank / Southern New England",2010,7.84800004959106,"Abundance",0.941695586425034,1.10162695366336
"28","Little skate","Georges Bank / Southern New England",2011,8.04399967193604,"Abundance",0.326665321950234,0.579904309620202
"29","Little skate","Georges Bank / Southern New England",2012,8.35099983215332,"Abundance",1.96560808669674,1.95530117036495
"30","Little skate","Georges Bank / Southern New England",2013,7.13000011444092,"Abundance",1.14141188274186,0.618899355671896
"31","Little skate","Georges Bank / Southern New England",2014,7.01700019836426,"Abundance",0.595098821029826,0.564988005765047
"32","Little skate","Georges Bank / Southern New England",2015,6.77699995040894,"Abundance",0.405440831858098,0.320178472629582
"33","Little skate","Georges Bank / Southern New England",2016,5.64099979400635,"Abundance",0.948509466169552,0.62379573173958
"34","Little skate","Georges Bank / Southern New England",2017,5.49200010299683,"Abundance",-0.0352196243478193,0.0803697860543764
"35","Little skate","Georges Bank / Southern New England",2018,4.68800020217896,"Abundance",0.816901906131761,0.616902257003291
"36","Little skate","Georges Bank / Southern New England",2019,5.32000017166138,"Abundance",0.0908714307480043,0.360390282493457
