"","Species","Region","Time","Value","Metric","centropages_zoo_spring_log_N_m__3","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Smooth dogfish","Atlantic",1982,14812,"Abundance",3.43310877674576,7.27647105785162
"2","Smooth dogfish","Atlantic",1983,14750,"Abundance",3.59220572792792,5.78752805584714
"3","Smooth dogfish","Atlantic",1984,14629,"Abundance",3.4934910891984,5.20611040014539
"4","Smooth dogfish","Atlantic",1985,14417,"Abundance",3.92390998913308,6.76055976410869
"5","Smooth dogfish","Atlantic",1986,13946,"Abundance",3.94665126477954,8.41133752735727
"6","Smooth dogfish","Atlantic",1987,13080,"Abundance",3.67669112720189,6.16777649341004
"7","Smooth dogfish","Atlantic",1988,11965,"Abundance",3.81656646011791,4.95745297309715
"8","Smooth dogfish","Atlantic",1992,8347,"Abundance",4.0811393774753,2.91931103692896
"9","Smooth dogfish","Atlantic",1993,7131,"Abundance",3.92974131976765,2.44110948570262
"10","Smooth dogfish","Atlantic",1995,5432,"Abundance",4.10638522108829,2.09285325320061
"11","Smooth dogfish","Atlantic",1996,4810,"Abundance",4.3272464400645,1.7818406637159
"12","Smooth dogfish","Atlantic",1997,4321,"Abundance",4.2641634109929,2.01429356438314
"13","Smooth dogfish","Atlantic",1998,3974,"Abundance",4.31643390625778,1.79260316828951
"14","Smooth dogfish","Atlantic",1999,3841,"Abundance",4.22171159975358,1.9499994572924
"15","Smooth dogfish","Atlantic",2000,4040,"Abundance",4.56834702251471,2.38501518124824
"16","Smooth dogfish","Atlantic",2001,4651,"Abundance",4.57997877024529,2.11913563781022
"17","Smooth dogfish","Atlantic",2002,5257,"Abundance",4.36613920809072,2.20100690144608
"18","Smooth dogfish","Atlantic",2003,5529,"Abundance",4.18839203992399,2.43994708716007
"19","Smooth dogfish","Atlantic",2004,5771,"Abundance",4.19524154018092,2.23179050013897
"20","Smooth dogfish","Atlantic",2005,6254,"Abundance",3.47262263397722,2.00177382992635
"21","Smooth dogfish","Atlantic",2006,7195,"Abundance",4.11013478536353,2.06771668484637
"22","Smooth dogfish","Atlantic",2007,8924,"Abundance",3.8014503714816,2.1508140608002
"23","Smooth dogfish","Atlantic",2008,10653,"Abundance",4.25909306877081,2.31398879257961
"24","Smooth dogfish","Atlantic",2009,11525,"Abundance",4.23881273057955,1.86641432356701
"25","Smooth dogfish","Atlantic",2010,11726,"Abundance",3.80571417804156,2.83972571969491
"26","Smooth dogfish","Atlantic",2011,11380,"Abundance",3.96021965533418,2.61064653890135
"27","Smooth dogfish","Atlantic",2012,10847,"Abundance",4.19053468499575,2.66219618460158
