"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Atlantic herring","GB","F",1992,83.5610506590377,31,27
"Atlantic herring","GB","F",1993,115.078165107795,29,27
"Atlantic herring","GB","F",1994,143.675176653407,39,27
"Atlantic herring","GB","F",1995,117.478450785574,45,27
"Atlantic herring","GB","F",1996,108.531756008629,103,27
"Atlantic herring","GB","F",1997,110.65572799958,50,27
"Atlantic herring","GB","F",1998,106.223505893442,73,27
"Atlantic herring","GB","F",1999,114.742851699326,33,27
"Atlantic herring","GB","F",2000,120.77689601057,53,27
"Atlantic herring","GB","F",2001,111.689705156048,35,27
"Atlantic herring","GB","F",2002,116.574267646689,78,27
"Atlantic herring","GB","F",2003,120.401438126682,63,27
"Atlantic herring","GB","F",2004,110.332497175956,78,27
"Atlantic herring","GB","F",2005,119.804008925102,77,27
"Atlantic herring","GB","F",2006,115.073253854497,51,27
"Atlantic herring","GB","F",2007,117.309028613562,64,27
"Atlantic herring","GB","F",2008,120.41747977541,79,27
"Atlantic herring","GB","F",2009,111.093670977473,94,27
"Atlantic herring","GB","F",2010,105.644099960157,122,27
"Atlantic herring","GB","F",2011,104.406699635608,43,27
"Atlantic herring","GB","F",2012,109.580543283879,82,27
"Atlantic herring","GB","F",2013,109.254142950726,18,27
"Atlantic herring","GB","F",2014,109.644725110947,27,27
"Atlantic herring","GB","F",2015,115.354323718739,36,27
"Atlantic herring","GB","F",2016,111.301391132598,39,27
"Atlantic herring","GB","F",2017,102.72694835895,11,27
"Atlantic herring","GB","F",2018,106.887486649284,8,27
"Atlantic herring","GB","M",1992,82.4474530038599,27,27
"Atlantic herring","GB","M",1993,106.613879719916,33,27
"Atlantic herring","GB","M",1994,147.297980885473,28,27
"Atlantic herring","GB","M",1995,110.324779848097,37,27
"Atlantic herring","GB","M",1996,106.571385052623,87,27
"Atlantic herring","GB","M",1997,105.964726881669,59,27
"Atlantic herring","GB","M",1998,103.990186084218,75,27
"Atlantic herring","GB","M",1999,117.143624360744,27,27
"Atlantic herring","GB","M",2000,118.804726729466,34,27
"Atlantic herring","GB","M",2001,110.08319020979,32,27
"Atlantic herring","GB","M",2002,114.793783970232,77,27
"Atlantic herring","GB","M",2003,113.130203576138,64,27
"Atlantic herring","GB","M",2004,105.39586939525,101,27
"Atlantic herring","GB","M",2005,119.629385791404,69,27
"Atlantic herring","GB","M",2006,111.590216386273,38,27
"Atlantic herring","GB","M",2007,117.258458312334,44,27
"Atlantic herring","GB","M",2008,119.821686379783,53,27
"Atlantic herring","GB","M",2009,105.482635611502,115,27
"Atlantic herring","GB","M",2010,102.676460236011,115,27
"Atlantic herring","GB","M",2011,103.13264140982,26,27
"Atlantic herring","GB","M",2012,110.968446806041,76,27
"Atlantic herring","GB","M",2013,107.446264876124,19,27
"Atlantic herring","GB","M",2014,105.587622785044,14,27
"Atlantic herring","GB","M",2015,106.093145503344,18,27
"Atlantic herring","GB","M",2016,111.516155093654,37,27
"Atlantic herring","GB","M",2017,101.098854852309,11,27
"Atlantic herring","GB","M",2018,119.51510200273,8,27
"Atlantic herring","GOM","F",1992,93.6454534549824,170,27
"Atlantic herring","GOM","F",1993,108.978294367724,161,27
