"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Blueback herring",2019,"CONNECTICUT",114,34,34
"Blueback herring",2018,"NEW YORK",6995,3153,3210.1245204046
"Blueback herring",2017,"CONNECTICUT",1038,283,295.15653030336
"Blueback herring",2017,"NEW YORK",3857,1679,1751.12301900827
"Blueback herring",2015,"NEW YORK",443,189,203.87187752833
"Blueback herring",2014,"NEW YORK",415,296,319.678186849165
"Blueback herring",2013,"NEW YORK",2341,798,875.757741678266
"Blueback herring",2011,"NEW YORK",14964,1606,1825.40293567132
"Blueback herring",2009,"CONNECTICUT",1845,367,437.275282587689
"Blueback herring",2009,"NEW YORK",224,87,103.659263174738
"Blueback herring",2008,"CONNECTICUT",755,155,184.088659108937
"Blueback herring",2008,"NEW YORK",7911,2429,2884.84743855232
"Blueback herring",2008,"VIRGINIA",2746,1040,1235.17551918255
"Blueback herring",2007,"NEW YORK",14314,4703,5798.6944922492
"Blueback herring",2006,"NEW YORK",11111,3069,3892.63067805019
"Blueback herring",2006,"VIRGINIA",2297,257,325.971353619713
"Blueback herring",2005,"NEW YORK",5791,1725,2258.43740397747
"Blueback herring",2005,"VIRGINIA",2466,254,332.546724991465
"Blueback herring",2004,"MAINE",3200,240,324.793400679342
"Blueback herring",2004,"NEW JERSEY",899,367,496.66324187216
"Blueback herring",2004,"NEW YORK",688,135,182.69628788213
"Blueback herring",2004,"VIRGINIA",1672,169,228.708686311703
"Blueback herring",2003,"NEW YORK",20467,30701,42656.16128125
"Blueback herring",2002,"NEW YORK",474,105,149.240152427724
"Blueback herring",2002,"RHODE ISLAND",12,4,5.68533914010378
"Blueback herring",2002,"VIRGINIA",5061,515,731.987414288362
"Blueback herring",2001,"NEW YORK",3235,366,528.509340550718
"Blueback herring",2000,"CONNECTICUT",77985,4680,6948.33573053284
"Blueback herring",2000,"NEW YORK",490,66,97.9893500459759
"Blueback herring",2000,"RHODE ISLAND",574,332,492.916124473697
"Blueback herring",2000,"VIRGINIA",3057,308,457.283633547888
"Blueback herring",1999,"CONNECTICUT",102060,15309,23494.291136068
"Blueback herring",1999,"MARYLAND",43674,3587,5504.86787543772
"Blueback herring",1999,"VIRGINIA",11729,1555,2386.41470485243
"Blueback herring",1998,"MARYLAND",157104,16950,26583.1821225909
"Blueback herring",1998,"NEW YORK",4867,1217,1908.65679310874
"Blueback herring",1998,"VIRGINIA",4734,469,735.546455191453
