"Time","stock_id","Value","Var","Units","Pattern_check"
1983,"blueback_herring_both",63.4544,"cumulative intensity","degrees C","Blueback herring both"
1984,"blueback_herring_both",43.1511,"cumulative intensity","degrees C","Blueback herring both"
1985,"blueback_herring_both",10.5223,"cumulative intensity","degrees C","Blueback herring both"
1990,"blueback_herring_both",73.2934,"cumulative intensity","degrees C","Blueback herring both"
1991,"blueback_herring_both",34.0911,"cumulative intensity","degrees C","Blueback herring both"
1994,"blueback_herring_both",58.7031,"cumulative intensity","degrees C","Blueback herring both"
1999,"blueback_herring_both",80.1959,"cumulative intensity","degrees C","Blueback herring both"
2000,"blueback_herring_both",75.4552,"cumulative intensity","degrees C","Blueback herring both"
2001,"blueback_herring_both",45.6432,"cumulative intensity","degrees C","Blueback herring both"
2002,"blueback_herring_both",152.5888,"cumulative intensity","degrees C","Blueback herring both"
2003,"blueback_herring_both",11.4799,"cumulative intensity","degrees C","Blueback herring both"
2005,"blueback_herring_both",31.2132,"cumulative intensity","degrees C","Blueback herring both"
2006,"blueback_herring_both",111.9829,"cumulative intensity","degrees C","Blueback herring both"
2007,"blueback_herring_both",14.6056,"cumulative intensity","degrees C","Blueback herring both"
2008,"blueback_herring_both",28.5101,"cumulative intensity","degrees C","Blueback herring both"
2009,"blueback_herring_both",70.1872,"cumulative intensity","degrees C","Blueback herring both"
2010,"blueback_herring_both",164.973,"cumulative intensity","degrees C","Blueback herring both"
2011,"blueback_herring_both",476.6458,"cumulative intensity","degrees C","Blueback herring both"
2012,"blueback_herring_both",354.142,"cumulative intensity","degrees C","Blueback herring both"
2013,"blueback_herring_both",197.4424,"cumulative intensity","degrees C","Blueback herring both"
2014,"blueback_herring_both",147.1372,"cumulative intensity","degrees C","Blueback herring both"
2015,"blueback_herring_both",337.6742,"cumulative intensity","degrees C","Blueback herring both"
2016,"blueback_herring_both",347.8779,"cumulative intensity","degrees C","Blueback herring both"
2017,"blueback_herring_both",219.6322,"cumulative intensity","degrees C","Blueback herring both"
2018,"blueback_herring_both",246.8351,"cumulative intensity","degrees C","Blueback herring both"
2019,"blueback_herring_both",132.0784,"cumulative intensity","degrees C","Blueback herring both"
2020,"blueback_herring_both",378.0734,"cumulative intensity","degrees C","Blueback herring both"
1983,"blueback_herring_both",1.7086,"maximum intensity","degrees C","Blueback herring both"
1983,"blueback_herring_both",1.5322,"maximum intensity","degrees C","Blueback herring both"
1984,"blueback_herring_both",1.4138,"maximum intensity","degrees C","Blueback herring both"
1984,"blueback_herring_both",1.7613,"maximum intensity","degrees C","Blueback herring both"
1984,"blueback_herring_both",1.8183,"maximum intensity","degrees C","Blueback herring both"
1984,"blueback_herring_both",1.755,"maximum intensity","degrees C","Blueback herring both"
1985,"blueback_herring_both",1.4657,"maximum intensity","degrees C","Blueback herring both"
1990,"blueback_herring_both",1.6826,"maximum intensity","degrees C","Blueback herring both"
1990,"blueback_herring_both",1.8774,"maximum intensity","degrees C","Blueback herring both"
