"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Butterfish",2019,"CONNECTICUT",220824,206597,206597
"Butterfish",2019,"MARYLAND",1301,1259,1259
"Butterfish",2019,"MASSACHUSETTS",187785,198845,198845
"Butterfish",2019,"NEW JERSEY",87462,81829,81829
"Butterfish",2019,"NEW YORK",492962,577196,577196
"Butterfish",2019,"RHODE ISLAND",6546135,4807987,4807987
"Butterfish",2019,"VIRGINIA",28216,19686,19686
"Butterfish",2018,"CONNECTICUT",169624,143452,146050.99356203
"Butterfish",2018,"MARYLAND",6133,5338,5434.7112876371
"Butterfish",2018,"MASSACHUSETTS",261325,172046,175163.045746125
"Butterfish",2018,"NEW JERSEY",81458,60753,61853.6933041995
"Butterfish",2018,"NEW YORK",507371,476906,485546.350944522
"Butterfish",2018,"RHODE ISLAND",2622834,1801128,1833759.96104894
"Butterfish",2018,"VIRGINIA",59508,37439,38117.3015919531
"Butterfish",2017,"CONNECTICUT",122035,93549,97567.4849941662
"Butterfish",2017,"MARYLAND",5033,4336,4522.25694485996
"Butterfish",2017,"MASSACHUSETTS",243757,190161,198329.544024796
"Butterfish",2017,"NEW JERSEY",129847,65328,68134.2254828901
"Butterfish",2017,"NEW YORK",690734,604764,630742.204566718
"Butterfish",2017,"RHODE ISLAND",6878210,3505380,3655956.88408054
"Butterfish",2017,"VIRGINIA",31354,37966,39596.8651218988
"Butterfish",2016,"CONNECTICUT",176774,116780,124401.009427509
"Butterfish",2016,"MARYLAND",4377,3405,3627.20874379746
"Butterfish",2016,"MASSACHUSETTS",322610,214919,228944.515714598
"Butterfish",2016,"NEW JERSEY",164609,61031,65013.8551667263
"Butterfish",2016,"NEW YORK",540588,462672,492865.763262925
"Butterfish",2016,"RHODE ISLAND",1388927,795954,847897.594261547
"Butterfish",2016,"VIRGINIA",30484,34592,36849.4581102619
"Butterfish",2015,"CONNECTICUT",137905,110255,118930.65532744
"Butterfish",2015,"MARYLAND",5801,4357,4699.8400549785
"Butterfish",2015,"MASSACHUSETTS",646941,424487,457888.686118351
"Butterfish",2015,"NEW JERSEY",98605,38262,41272.7289840687
"Butterfish",2015,"NEW YORK",388965,370880,400063.502315911
"Butterfish",2015,"RHODE ISLAND",3315502,2071313,2234298.7844383
"Butterfish",2015,"VIRGINIA",27737,43051,46438.5619019691
"Butterfish",2014,"CONNECTICUT",111296,109581,118346.808760535
"Butterfish",2014,"MARYLAND",19103,8406,9078.42850896648
"Butterfish",2014,"MASSACHUSETTS",196371,154555,166918.453271867
"Butterfish",2014,"NEW JERSEY",127787,86443,93357.9104925755
"Butterfish",2014,"NEW YORK",575183,589957,637149.946212745
"Butterfish",2014,"RHODE ISLAND",5849268,3616607,3905913.40643918
"Butterfish",2014,"VIRGINIA",16222,18827,20333.0446750312
"Butterfish",2013,"CONNECTICUT",111914,81480,89419.474676623
"Butterfish",2013,"MARYLAND",5120,3107,3409.7485004942
"Butterfish",2013,"MASSACHUSETTS",130412,87684,96227.9972698209
"Butterfish",2013,"NEW JERSEY",165356,108715,119308.274293926
"Butterfish",2013,"NEW YORK",383773,392893,431176.800001502
"Butterfish",2013,"RHODE ISLAND",1568003,935180,1026304.66774772
"Butterfish",2013,"VIRGINIA",33966,50278,55177.1274888469
"Butterfish",2012,"CONNECTICUT",111684,74460,82913.3655168559
"Butterfish",2012,"MARYLAND",5661,3696,4115.60299422911
"Butterfish",2012,"MASSACHUSETTS",175386,95958,106852.010855042
"Butterfish",2012,"NEW HAMPSHIRE",4312,1469,1635.77402557429
"Butterfish",2012,"NEW JERSEY",75324,59945,66750.4928271277
"Butterfish",2012,"NEW YORK",456176,388665,432789.72882902
"Butterfish",2012,"RHODE ISLAND",549788,404280,450177.483362268
"Butterfish",2012,"VIRGINIA",30588,16658,18549.165226696
"Butterfish",2011,"CONNECTICUT",105661,74056,84173.1256563357
"Butterfish",2011,"MARYLAND",2685,1665,1892.46319295937
"Butterfish",2011,"MASSACHUSETTS",140471,83062,94409.4761162709
"Butterfish",2011,"NEW JERSEY",64592,45496,51711.4146707985
"Butterfish",2011,"NEW YORK",519375,436002,495566.208442445
"Butterfish",2011,"RHODE ISLAND",612487,490696,557732.203562997
"Butterfish",2011,"VIRGINIA",8701,4973,5652.38405921137
"Butterfish",2010,"CONNECTICUT",68784,42544,49874.342869502
"Butterfish",2010,"MARYLAND",2239,1600,1875.68043886807
"Butterfish",2010,"MASSACHUSETTS",174061,97917,114788.125957903
"Butterfish",2010,"NEW JERSEY",43330,32063,37587.4636946419
"Butterfish",2010,"NEW YORK",405138,297211,348420.536822762
"Butterfish",2010,"RHODE ISLAND",560507,356439,417853.53746856
"Butterfish",2010,"VIRGINIA",12107,6378,7476.93114943785
"Butterfish",2009,"CONNECTICUT",74330,46189,55033.5368595171
"Butterfish",2009,"MARYLAND",1494,1382,1646.63335295964
"Butterfish",2009,"MASSACHUSETTS",124238,70472,83966.3861431053
"Butterfish",2009,"NEW JERSEY",33022,24405,29078.2105491895
"Butterfish",2009,"NEW YORK",241112,176849,210713.069347003
"Butterfish",2009,"RHODE ISLAND",456413,276424,329355.266250734
"Butterfish",2009,"VIRGINIA",23914,20673,24631.5856047283
"Butterfish",2008,"CONNECTICUT",46943,34052,40442.4969030809
"Butterfish",2008,"MARYLAND",5272,4776,5672.30603809216
"Butterfish",2008,"MASSACHUSETTS",32088,22246,26420.8794228221
"Butterfish",2008,"NEW JERSEY",44346,33614,39922.2979825021
"Butterfish",2008,"NEW YORK",415310,345707,410585.406932732
"Butterfish",2008,"RHODE ISLAND",421250,297031,352774.441959915
"Butterfish",2008,"VIRGINIA",22522,13474,16002.6489860247
"Butterfish",2007,"CONNECTICUT",40653,35756,44086.35344777
"Butterfish",2007,"MARYLAND",35356,34144,42098.7932688405
"Butterfish",2007,"MASSACHUSETTS",36659,24013,29607.4953949352
"Butterfish",2007,"NEW JERSEY",176679,110115,135769.348078678
"Butterfish",2007,"NEW YORK",361857,350914,432669.16416184
"Butterfish",2007,"RHODE ISLAND",776115,474270,584764.371005534
"Butterfish",2007,"VIRGINIA",55231,48778,60142.1900792965
