"Time","stock_id","Value","Var","Units","Pattern_check"
1983,"butterfish_both",46.084,"cumulative intensity","degrees C","Butterfish both"
1984,"butterfish_both",36.3379,"cumulative intensity","degrees C","Butterfish both"
1985,"butterfish_both",22.9872,"cumulative intensity","degrees C","Butterfish both"
1986,"butterfish_both",8.0314,"cumulative intensity","degrees C","Butterfish both"
1988,"butterfish_both",9.2433,"cumulative intensity","degrees C","Butterfish both"
1989,"butterfish_both",8.5399,"cumulative intensity","degrees C","Butterfish both"
1990,"butterfish_both",85.5197,"cumulative intensity","degrees C","Butterfish both"
1991,"butterfish_both",51.9194,"cumulative intensity","degrees C","Butterfish both"
1993,"butterfish_both",19.8902,"cumulative intensity","degrees C","Butterfish both"
1994,"butterfish_both",55.594,"cumulative intensity","degrees C","Butterfish both"
1995,"butterfish_both",34.0206,"cumulative intensity","degrees C","Butterfish both"
1999,"butterfish_both",88.1304,"cumulative intensity","degrees C","Butterfish both"
2000,"butterfish_both",80.3888,"cumulative intensity","degrees C","Butterfish both"
2001,"butterfish_both",72.2782,"cumulative intensity","degrees C","Butterfish both"
2002,"butterfish_both",200.3886,"cumulative intensity","degrees C","Butterfish both"
2003,"butterfish_both",16.1027,"cumulative intensity","degrees C","Butterfish both"
2005,"butterfish_both",93.5077,"cumulative intensity","degrees C","Butterfish both"
2006,"butterfish_both",125.7955,"cumulative intensity","degrees C","Butterfish both"
2007,"butterfish_both",28.5741,"cumulative intensity","degrees C","Butterfish both"
2008,"butterfish_both",17.6633,"cumulative intensity","degrees C","Butterfish both"
2009,"butterfish_both",80.8479,"cumulative intensity","degrees C","Butterfish both"
2010,"butterfish_both",122.8263,"cumulative intensity","degrees C","Butterfish both"
2011,"butterfish_both",124.1528,"cumulative intensity","degrees C","Butterfish both"
2012,"butterfish_both",536.8262,"cumulative intensity","degrees C","Butterfish both"
2013,"butterfish_both",71.3029,"cumulative intensity","degrees C","Butterfish both"
2014,"butterfish_both",125.383,"cumulative intensity","degrees C","Butterfish both"
2015,"butterfish_both",349.1871,"cumulative intensity","degrees C","Butterfish both"
2016,"butterfish_both",252.1544,"cumulative intensity","degrees C","Butterfish both"
2017,"butterfish_both",156.5844,"cumulative intensity","degrees C","Butterfish both"
2018,"butterfish_both",165.1129,"cumulative intensity","degrees C","Butterfish both"
2019,"butterfish_both",100.3513,"cumulative intensity","degrees C","Butterfish both"
2020,"butterfish_both",322.6579,"cumulative intensity","degrees C","Butterfish both"
1983,"butterfish_both",1.8816,"maximum intensity","degrees C","Butterfish both"
1983,"butterfish_both",1.2328,"maximum intensity","degrees C","Butterfish both"
1983,"butterfish_both",1.2176,"maximum intensity","degrees C","Butterfish both"
1983,"butterfish_both",1.8618,"maximum intensity","degrees C","Butterfish both"
1984,"butterfish_both",1.7407,"maximum intensity","degrees C","Butterfish both"
1984,"butterfish_both",2.001,"maximum intensity","degrees C","Butterfish both"
1984,"butterfish_both",2.1509,"maximum intensity","degrees C","Butterfish both"
1985,"butterfish_both",1.9743,"maximum intensity","degrees C","Butterfish both"
1986,"butterfish_both",1.5019,"maximum intensity","degrees C","Butterfish both"
1988,"butterfish_both",1.7378,"maximum intensity","degrees C","Butterfish both"
1989,"butterfish_both",1.6521,"maximum intensity","degrees C","Butterfish both"
1990,"butterfish_both",1.5427,"maximum intensity","degrees C","Butterfish both"
1990,"butterfish_both",1.7968,"maximum intensity","degrees C","Butterfish both"
1990,"butterfish_both",1.6999,"maximum intensity","degrees C","Butterfish both"
1990,"butterfish_both",1.7041,"maximum intensity","degrees C","Butterfish both"
1990,"butterfish_both",2.284,"maximum intensity","degrees C","Butterfish both"
1991,"butterfish_both",1.8185,"maximum intensity","degrees C","Butterfish both"
1991,"butterfish_both",1.7007,"maximum intensity","degrees C","Butterfish both"
1991,"butterfish_both",2.8014,"maximum intensity","degrees C","Butterfish both"
1993,"butterfish_both",1.6795,"maximum intensity","degrees C","Butterfish both"
1993,"butterfish_both",1.678,"maximum intensity","degrees C","Butterfish both"
1994,"butterfish_both",2.5135,"maximum intensity","degrees C","Butterfish both"
1994,"butterfish_both",2.2525,"maximum intensity","degrees C","Butterfish both"
1995,"butterfish_both",1.7202,"maximum intensity","degrees C","Butterfish both"
1995,"butterfish_both",1.6089,"maximum intensity","degrees C","Butterfish both"
