"Species","EPU","sex","YEAR","MeanCond","nCond","n"
"Monkfish","GB","F",1994,105.231125566513,10,24
"Monkfish","GB","F",1995,92.982338009073,3,24
"Monkfish","GB","F",1996,103.342754323044,6,24
"Monkfish","GB","F",1997,100.131275640623,5,24
"Monkfish","GB","F",1998,107.381616346615,5,24
"Monkfish","GB","F",2000,94.0885642089669,8,24
"Monkfish","GB","F",2001,95.8877423874234,11,24
"Monkfish","GB","F",2002,101.110634037643,9,24
"Monkfish","GB","F",2003,98.0706618976076,6,24
"Monkfish","GB","F",2004,95.6614539482833,5,24
"Monkfish","GB","F",2005,101.012954268329,8,24
"Monkfish","GB","F",2006,102.956067732553,7,24
"Monkfish","GB","F",2007,100.820554020329,3,24
"Monkfish","GB","F",2008,109.531928792344,3,24
"Monkfish","GB","F",2009,102.929048644499,11,24
"Monkfish","GB","F",2010,98.0488737260481,20,24
"Monkfish","GB","F",2011,99.7780619455474,35,24
"Monkfish","GB","F",2012,100.841174478951,31,24
"Monkfish","GB","F",2013,104.416559805465,14,24
"Monkfish","GB","F",2014,101.182872264539,21,24
"Monkfish","GB","F",2015,97.1927926659433,49,24
"Monkfish","GB","F",2016,104.064370269703,36,24
"Monkfish","GB","F",2017,99.0341995104893,43,24
"Monkfish","GB","F",2018,95.3899615737538,48,24
"Monkfish","GB","M",1992,103.878438004933,4,26
"Monkfish","GB","M",1993,100.211575279909,4,26
"Monkfish","GB","M",1994,93.5938018239865,4,26
"Monkfish","GB","M",1996,103.917647606857,4,26
"Monkfish","GB","M",1997,103.522553587194,3,26
"Monkfish","GB","M",1998,100.653504262901,4,26
"Monkfish","GB","M",1999,95.9735603291511,3,26
"Monkfish","GB","M",2000,104.590206006998,7,26
"Monkfish","GB","M",2001,101.178296248786,4,26
"Monkfish","GB","M",2002,100.090362089788,10,26
"Monkfish","GB","M",2003,104.104136847277,6,26
"Monkfish","GB","M",2004,94.6616521643184,8,26
"Monkfish","GB","M",2005,103.774585209314,12,26
