"stock_season","strata","SVSPP","Region","Species"
"fall",1610,25,"all","Rosette skate"
"fall",1620,25,"all","Rosette skate"
"fall",1630,25,"all","Rosette skate"
"fall",1640,25,"all","Rosette skate"
"fall",1650,25,"all","Rosette skate"
"fall",1660,25,"all","Rosette skate"
"fall",1670,25,"all","Rosette skate"
"fall",1680,25,"all","Rosette skate"
"fall",1690,25,"all","Rosette skate"
"fall",1700,25,"all","Rosette skate"
"fall",1710,25,"all","Rosette skate"
"fall",1720,25,"all","Rosette skate"
"fall",1730,25,"all","Rosette skate"
"fall",1740,25,"all","Rosette skate"
"fall",1750,25,"all","Rosette skate"
"fall",1760,25,"all","Rosette skate"
