"Time","stock_id","Value","Var","Units","Pattern_check"
1982,"smooth_skate_both",7.6661,"cumulative intensity","degrees C","Smooth skate both"
1983,"smooth_skate_both",118.9811,"cumulative intensity","degrees C","Smooth skate both"
1984,"smooth_skate_both",43.5006,"cumulative intensity","degrees C","Smooth skate both"
1986,"smooth_skate_both",9.8212,"cumulative intensity","degrees C","Smooth skate both"
1990,"smooth_skate_both",80.6282,"cumulative intensity","degrees C","Smooth skate both"
1991,"smooth_skate_both",28.5809,"cumulative intensity","degrees C","Smooth skate both"
1994,"smooth_skate_both",65.1584,"cumulative intensity","degrees C","Smooth skate both"
1999,"smooth_skate_both",107.0336,"cumulative intensity","degrees C","Smooth skate both"
2000,"smooth_skate_both",51.4854,"cumulative intensity","degrees C","Smooth skate both"
2001,"smooth_skate_both",31.1238,"cumulative intensity","degrees C","Smooth skate both"
2002,"smooth_skate_both",94.9528,"cumulative intensity","degrees C","Smooth skate both"
2003,"smooth_skate_both",16.4753,"cumulative intensity","degrees C","Smooth skate both"
2005,"smooth_skate_both",31.7398,"cumulative intensity","degrees C","Smooth skate both"
2006,"smooth_skate_both",104.4612,"cumulative intensity","degrees C","Smooth skate both"
2008,"smooth_skate_both",28.2847,"cumulative intensity","degrees C","Smooth skate both"
2009,"smooth_skate_both",80.6509,"cumulative intensity","degrees C","Smooth skate both"
2010,"smooth_skate_both",177.6914,"cumulative intensity","degrees C","Smooth skate both"
2011,"smooth_skate_both",456.8537,"cumulative intensity","degrees C","Smooth skate both"
2012,"smooth_skate_both",550.7206,"cumulative intensity","degrees C","Smooth skate both"
2013,"smooth_skate_both",171.9223,"cumulative intensity","degrees C","Smooth skate both"
2014,"smooth_skate_both",277.492,"cumulative intensity","degrees C","Smooth skate both"
2015,"smooth_skate_both",445.0557,"cumulative intensity","degrees C","Smooth skate both"
2016,"smooth_skate_both",334.7027,"cumulative intensity","degrees C","Smooth skate both"
2017,"smooth_skate_both",251.6352,"cumulative intensity","degrees C","Smooth skate both"
2018,"smooth_skate_both",268.5454,"cumulative intensity","degrees C","Smooth skate both"
2019,"smooth_skate_both",134.6009,"cumulative intensity","degrees C","Smooth skate both"
2020,"smooth_skate_both",410.0416,"cumulative intensity","degrees C","Smooth skate both"
