"Time","stock_id","Value","Var","Units","Pattern_check"
1983,"spiny_dogfish_both",66.6197,"cumulative intensity","degrees C","Spiny dogfish both"
1984,"spiny_dogfish_both",41.9957,"cumulative intensity","degrees C","Spiny dogfish both"
1985,"spiny_dogfish_both",8.4738,"cumulative intensity","degrees C","Spiny dogfish both"
1986,"spiny_dogfish_both",6.7761,"cumulative intensity","degrees C","Spiny dogfish both"
1990,"spiny_dogfish_both",74.8725,"cumulative intensity","degrees C","Spiny dogfish both"
1991,"spiny_dogfish_both",33.9494,"cumulative intensity","degrees C","Spiny dogfish both"
1994,"spiny_dogfish_both",65.0533,"cumulative intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",91.0701,"cumulative intensity","degrees C","Spiny dogfish both"
2000,"spiny_dogfish_both",77.8144,"cumulative intensity","degrees C","Spiny dogfish both"
2001,"spiny_dogfish_both",45.6312,"cumulative intensity","degrees C","Spiny dogfish both"
2002,"spiny_dogfish_both",131.9175,"cumulative intensity","degrees C","Spiny dogfish both"
2003,"spiny_dogfish_both",11.7904,"cumulative intensity","degrees C","Spiny dogfish both"
2005,"spiny_dogfish_both",33.5437,"cumulative intensity","degrees C","Spiny dogfish both"
2006,"spiny_dogfish_both",111.2102,"cumulative intensity","degrees C","Spiny dogfish both"
2007,"spiny_dogfish_both",7.6542,"cumulative intensity","degrees C","Spiny dogfish both"
2008,"spiny_dogfish_both",30.3425,"cumulative intensity","degrees C","Spiny dogfish both"
2009,"spiny_dogfish_both",77.726,"cumulative intensity","degrees C","Spiny dogfish both"
2010,"spiny_dogfish_both",163.579,"cumulative intensity","degrees C","Spiny dogfish both"
2011,"spiny_dogfish_both",469.0208,"cumulative intensity","degrees C","Spiny dogfish both"
2012,"spiny_dogfish_both",366.4135,"cumulative intensity","degrees C","Spiny dogfish both"
2013,"spiny_dogfish_both",219.6821,"cumulative intensity","degrees C","Spiny dogfish both"
2014,"spiny_dogfish_both",153.9854,"cumulative intensity","degrees C","Spiny dogfish both"
2015,"spiny_dogfish_both",353.5379,"cumulative intensity","degrees C","Spiny dogfish both"
2016,"spiny_dogfish_both",351.8605,"cumulative intensity","degrees C","Spiny dogfish both"
2017,"spiny_dogfish_both",222.6854,"cumulative intensity","degrees C","Spiny dogfish both"
2018,"spiny_dogfish_both",243.0522,"cumulative intensity","degrees C","Spiny dogfish both"
2019,"spiny_dogfish_both",134.863,"cumulative intensity","degrees C","Spiny dogfish both"
2020,"spiny_dogfish_both",366.8654,"cumulative intensity","degrees C","Spiny dogfish both"
1983,"spiny_dogfish_both",1.7089,"maximum intensity","degrees C","Spiny dogfish both"
1983,"spiny_dogfish_both",1.6084,"maximum intensity","degrees C","Spiny dogfish both"
1984,"spiny_dogfish_both",1.4502,"maximum intensity","degrees C","Spiny dogfish both"
1984,"spiny_dogfish_both",1.7997,"maximum intensity","degrees C","Spiny dogfish both"
1984,"spiny_dogfish_both",1.8268,"maximum intensity","degrees C","Spiny dogfish both"
1984,"spiny_dogfish_both",1.7928,"maximum intensity","degrees C","Spiny dogfish both"
1985,"spiny_dogfish_both",1.4672,"maximum intensity","degrees C","Spiny dogfish both"
1986,"spiny_dogfish_both",1.352,"maximum intensity","degrees C","Spiny dogfish both"
1990,"spiny_dogfish_both",1.7194,"maximum intensity","degrees C","Spiny dogfish both"
1990,"spiny_dogfish_both",1.86,"maximum intensity","degrees C","Spiny dogfish both"
1990,"spiny_dogfish_both",2.0612,"maximum intensity","degrees C","Spiny dogfish both"
1990,"spiny_dogfish_both",2.0613,"maximum intensity","degrees C","Spiny dogfish both"
1991,"spiny_dogfish_both",1.5175,"maximum intensity","degrees C","Spiny dogfish both"
1991,"spiny_dogfish_both",2.5742,"maximum intensity","degrees C","Spiny dogfish both"
1994,"spiny_dogfish_both",2.1628,"maximum intensity","degrees C","Spiny dogfish both"
1994,"spiny_dogfish_both",2.2155,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",1.5758,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",1.5766,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",1.8805,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",1.5399,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",2.4355,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",1.4474,"maximum intensity","degrees C","Spiny dogfish both"
1999,"spiny_dogfish_both",1.7074,"maximum intensity","degrees C","Spiny dogfish both"
2000,"spiny_dogfish_both",1.5568,"maximum intensity","degrees C","Spiny dogfish both"
2000,"spiny_dogfish_both",1.7191,"maximum intensity","degrees C","Spiny dogfish both"
2000,"spiny_dogfish_both",2.0805,"maximum intensity","degrees C","Spiny dogfish both"
2001,"spiny_dogfish_both",1.936,"maximum intensity","degrees C","Spiny dogfish both"
2001,"spiny_dogfish_both",2.2774,"maximum intensity","degrees C","Spiny dogfish both"
2001,"spiny_dogfish_both",1.6426,"maximum intensity","degrees C","Spiny dogfish both"
2002,"spiny_dogfish_both",2.0812,"maximum intensity","degrees C","Spiny dogfish both"
2002,"spiny_dogfish_both",1.4164,"maximum intensity","degrees C","Spiny dogfish both"
2002,"spiny_dogfish_both",2.2599,"maximum intensity","degrees C","Spiny dogfish both"
2002,"spiny_dogfish_both",2.207,"maximum intensity","degrees C","Spiny dogfish both"
2002,"spiny_dogfish_both",1.4607,"maximum intensity","degrees C","Spiny dogfish both"
2003,"spiny_dogfish_both",1.8183,"maximum intensity","degrees C","Spiny dogfish both"
2005,"spiny_dogfish_both",1.6289,"maximum intensity","degrees C","Spiny dogfish both"
2005,"spiny_dogfish_both",2.4802,"maximum intensity","degrees C","Spiny dogfish both"
2006,"spiny_dogfish_both",1.8389,"maximum intensity","degrees C","Spiny dogfish both"
2006,"spiny_dogfish_both",1.897,"maximum intensity","degrees C","Spiny dogfish both"
2006,"spiny_dogfish_both",2.6362,"maximum intensity","degrees C","Spiny dogfish both"
2007,"spiny_dogfish_both",1.7047,"maximum intensity","degrees C","Spiny dogfish both"
