"stock_season","strata","SVSPP","Region","Species"
"fall",1010,106,"Southern New England / Mid","Winter flounder"
"fall",1010,106,"Southern New England / Mid","Winter flounder"
"fall",1020,106,"Southern New England / Mid","Winter flounder"
"fall",1020,106,"Southern New England / Mid","Winter flounder"
"fall",1050,106,"Southern New England / Mid","Winter flounder"
"fall",1050,106,"Southern New England / Mid","Winter flounder"
"fall",1060,106,"Southern New England / Mid","Winter flounder"
"fall",1060,106,"Southern New England / Mid","Winter flounder"
"fall",1090,106,"Southern New England / Mid","Winter flounder"
"fall",1090,106,"Southern New England / Mid","Winter flounder"
"fall",1100,106,"Southern New England / Mid","Winter flounder"
"fall",1100,106,"Southern New England / Mid","Winter flounder"
"fall",1130,106,"Georges Bank","Winter flounder"
"fall",1130,106,"Georges Bank","Winter flounder"
"fall",1140,106,"Georges Bank","Winter flounder"
"fall",1140,106,"Georges Bank","Winter flounder"
"fall",1150,106,"Georges Bank","Winter flounder"
"fall",1150,106,"Georges Bank","Winter flounder"
"fall",1160,106,"Georges Bank","Winter flounder"
"fall",1160,106,"Georges Bank","Winter flounder"
"fall",1170,106,"Georges Bank","Winter flounder"
"fall",1170,106,"Georges Bank","Winter flounder"
"fall",1180,106,"Georges Bank","Winter flounder"
"fall",1180,106,"Georges Bank","Winter flounder"
"fall",1190,106,"Georges Bank","Winter flounder"
"fall",1190,106,"Georges Bank","Winter flounder"
"fall",1200,106,"Georges Bank","Winter flounder"
"fall",1200,106,"Georges Bank","Winter flounder"
"fall",1210,106,"Georges Bank","Winter flounder"
"fall",1210,106,"Georges Bank","Winter flounder"
"fall",1220,106,"Georges Bank","Winter flounder"
"fall",1220,106,"Georges Bank","Winter flounder"
"fall",1230,106,"Georges Bank","Winter flounder"
"fall",1230,106,"Georges Bank","Winter flounder"
"fall",1250,106,"Southern New England / Mid","Winter flounder"
"fall",1250,106,"Southern New England / Mid","Winter flounder"
"fall",1260,106,"Gulf of Maine","Winter flounder"
"fall",1260,106,"Gulf of Maine","Winter flounder"
"fall",1390,106,"Gulf of Maine","Winter flounder"
"fall",1390,106,"Gulf of Maine","Winter flounder"
"fall",1400,106,"Gulf of Maine","Winter flounder"
"fall",1400,106,"Gulf of Maine","Winter flounder"
"fall",1690,106,"Southern New England / Mid","Winter flounder"
"fall",1690,106,"Southern New England / Mid","Winter flounder"
"fall",1700,106,"Southern New England / Mid","Winter flounder"
"fall",1700,106,"Southern New England / Mid","Winter flounder"
"fall",1730,106,"Southern New England / Mid","Winter flounder"
"fall",1730,106,"Southern New England / Mid","Winter flounder"
"fall",1740,106,"Southern New England / Mid","Winter flounder"
"fall",1740,106,"Southern New England / Mid","Winter flounder"
"fall",3020,106,"Southern New England / Mid","Winter flounder"
"fall",3020,106,"Southern New England / Mid","Winter flounder"
"fall",3050,106,"Southern New England / Mid","Winter flounder"
"fall",3050,106,"Southern New England / Mid","Winter flounder"
"fall",3080,106,"Southern New England / Mid","Winter flounder"
"fall",3080,106,"Southern New England / Mid","Winter flounder"
"fall",3110,106,"Southern New England / Mid","Winter flounder"
"fall",3110,106,"Southern New England / Mid","Winter flounder"
"fall",3140,106,"Southern New England / Mid","Winter flounder"
"fall",3140,106,"Southern New England / Mid","Winter flounder"
"fall",3170,106,"Southern New England / Mid","Winter flounder"
"fall",3170,106,"Southern New England / Mid","Winter flounder"
"fall",3200,106,"Southern New England / Mid","Winter flounder"
"fall",3200,106,"Southern New England / Mid","Winter flounder"
"fall",3230,106,"Southern New England / Mid","Winter flounder"
"fall",3230,106,"Southern New England / Mid","Winter flounder"
"fall",3260,106,"Southern New England / Mid","Winter flounder"
"fall",3260,106,"Southern New England / Mid","Winter flounder"
"fall",3290,106,"Southern New England / Mid","Winter flounder"
"fall",3290,106,"Southern New England / Mid","Winter flounder"
"fall",3450,106,"Southern New England / Mid","Winter flounder"
"fall",3450,106,"Southern New England / Mid","Winter flounder"
"fall",3460,106,"Southern New England / Mid","Winter flounder"
"fall",3460,106,"Southern New England / Mid","Winter flounder"
"fall",3560,106,"Southern New England / Mid","Winter flounder"
"fall",3560,106,"Southern New England / Mid","Winter flounder"
"fall",3590,106,"Gulf of Maine","Winter flounder"
"fall",3590,106,"Gulf of Maine","Winter flounder"
"fall",3600,106,"Gulf of Maine","Winter flounder"
"fall",3600,106,"Gulf of Maine","Winter flounder"
"fall",3610,106,"Gulf of Maine","Winter flounder"
"fall",3610,106,"Gulf of Maine","Winter flounder"
"fall",3640,106,"Gulf of Maine","Winter flounder"
"fall",3640,106,"Gulf of Maine","Winter flounder"
"fall",3650,106,"Gulf of Maine","Winter flounder"
"fall",3650,106,"Gulf of Maine","Winter flounder"
"fall",3660,106,"Gulf of Maine","Winter flounder"
"fall",3660,106,"Gulf of Maine","Winter flounder"
"spring",1010,106,"Southern New England / Mid","Winter flounder"
