"stock_season","strata","SVSPP","Region","Species"
"fall",1220,107,"all","Witch flounder"
"fall",1230,107,"all","Witch flounder"
"fall",1240,107,"all","Witch flounder"
"fall",1250,107,"all","Witch flounder"
"fall",1260,107,"all","Witch flounder"
"fall",1270,107,"all","Witch flounder"
"fall",1280,107,"all","Witch flounder"
"fall",1290,107,"all","Witch flounder"
"fall",1300,107,"all","Witch flounder"
"fall",1360,107,"all","Witch flounder"
"fall",1370,107,"all","Witch flounder"
"fall",1380,107,"all","Witch flounder"
"fall",1390,107,"all","Witch flounder"
"fall",1400,107,"all","Witch flounder"
"spring",1220,107,"all","Witch flounder"
"spring",1230,107,"all","Witch flounder"
"spring",1240,107,"all","Witch flounder"
"spring",1250,107,"all","Witch flounder"
"spring",1260,107,"all","Witch flounder"
"spring",1270,107,"all","Witch flounder"
"spring",1280,107,"all","Witch flounder"
"spring",1290,107,"all","Witch flounder"
"spring",1300,107,"all","Witch flounder"
"spring",1360,107,"all","Witch flounder"
"spring",1370,107,"all","Witch flounder"
"spring",1380,107,"all","Witch flounder"
"spring",1390,107,"all","Witch flounder"
"spring",1400,107,"all","Witch flounder"
